soc,scenario,eta,t,task_id,p_ij
17-2199.08,Baseline,4.0,2024.0,16517,0.06346975543416597
17-2199.08,Baseline,4.0,2024.0,16509,0.11698345136889088
17-2199.08,Baseline,4.0,2024.0,16511,0.11219343674581261
17-2199.08,Baseline,4.0,2024.0,16521,0.019945913853765214
17-2199.08,Baseline,4.0,2024.0,16512,0.03059171754727902
17-2199.08,Baseline,4.0,2024.0,16516,0.018275946941904857
17-2199.08,Baseline,4.0,2024.0,21057,0.018230252965379546
17-2199.08,Baseline,4.0,2024.0,16520,0.09568515666558904
17-2199.08,Baseline,4.0,2024.0,21058,0.09036880697519045
17-2199.08,Baseline,4.0,2024.0,16528,0.016240428217841996
17-2199.08,Baseline,4.0,2024.0,16523,0.015698675172419577
17-2199.08,Baseline,4.0,2024.0,16514,0.014966585347082367
17-2199.08,Baseline,4.0,2024.0,16510,0.08302752931746232
17-2199.08,Baseline,4.0,2024.0,16515,0.01429794111505009
17-2199.08,Baseline,4.0,2024.0,16530,0.01387814825157653
17-2199.08,Baseline,4.0,2024.0,16518,0.021497145517282077
17-2199.08,Baseline,4.0,2024.0,16519,0.07577031906632009
17-2199.08,Baseline,4.0,2024.0,16525,0.07368142676789259
17-2199.08,Baseline,4.0,2024.0,16522,0.07340729392032994
17-2199.08,Baseline,4.0,2024.0,16513,0.031790068808764865
17-2199.08,Baseline,4.0,2024.25,16517,0.0634051424684949
17-2199.08,Baseline,4.0,2024.25,16509,0.1176023668584551
17-2199.08,Baseline,4.0,2024.25,16511,0.11278701006765336
17-2199.08,Baseline,4.0,2024.25,16521,0.01947004774549578
17-2199.08,Baseline,4.0,2024.25,16512,0.0302510413390696
17-2199.08,Baseline,4.0,2024.25,16516,0.01783992261080903
17-2199.08,Baseline,4.0,2024.25,21057,0.017795318793147323
17-2199.08,Baseline,4.0,2024.25,16520,0.09619139087981964
17-2199.08,Baseline,4.0,2024.25,21058,0.09084691438060472
17-2199.08,Baseline,4.0,2024.25,16528,0.015852966934828645
17-2199.08,Baseline,4.0,2024.25,16523,0.015324138938379086
17-2199.08,Baseline,4.0,2024.25,16514,0.014609515183468182
17-2199.08,Baseline,4.0,2024.25,16510,0.08346679678096693
17-2199.08,Baseline,4.0,2024.25,16515,0.013956823348044392
17-2199.08,Baseline,4.0,2024.25,16530,0.013547045828950893
17-2199.08,Baseline,4.0,2024.25,16518,0.021257748497129966
17-2199.08,Baseline,4.0,2024.25,16519,0.07617119135697846
17-2199.08,Baseline,4.0,2024.25,16525,0.07407124751421372
17-2199.08,Baseline,4.0,2024.25,16522,0.07379566433274853
17-2199.08,Baseline,4.0,2024.25,16513,0.03175770614074179
17-2199.08,Baseline,4.0,2024.5,16517,0.06334195274218384
17-2199.08,Baseline,4.0,2024.5,16509,0.11820764940490773
17-2199.08,Baseline,4.0,2024.5,16511,0.11336750866206255
17-2199.08,Baseline,4.0,2024.5,16521,0.01900466361043942
17-2199.08,Baseline,4.0,2024.5,16512,0.029917869256131404
17-2199.08,Baseline,4.0,2024.5,16516,0.01741350265220238
17-2199.08,Baseline,4.0,2024.5,21057,0.01736996498031361
17-2199.08,Baseline,4.0,2024.5,16520,0.09668647419807148
17-2199.08,Baseline,4.0,2024.5,21058,0.09131449044342187
17-2199.08,Baseline,4.0,2024.5,16528,0.01547404031885519
17-2199.08,Baseline,4.0,2024.5,16523,0.014957852669411362
17-2199.08,Baseline,4.0,2024.5,16514,0.014260310257207842
17-2199.08,Baseline,4.0,2024.5,16510,0.08389638843502466
17-2199.08,Baseline,4.0,2024.5,16515,0.013623219432590886
17-2199.08,Baseline,4.0,2024.5,16530,0.013223236648404135
17-2199.08,Baseline,4.0,2024.5,16518,0.02102362471058057
17-2199.08,Baseline,4.0,2024.5,16519,0.07656323357434619
17-2199.08,Baseline,4.0,2024.5,16525,0.07445248162124736
17-2199.08,Baseline,4.0,2024.5,16522,0.07417548005259923
17-2199.08,Baseline,4.0,2024.5,16513,0.031726056329998156
17-2199.08,Baseline,4.0,2024.75,16517,0.06328013974264646
17-2199.08,Baseline,4.0,2024.75,16509,0.11879974454359644
17-2199.08,Baseline,4.0,2024.75,16511,0.1139353598214586
17-2199.08,Baseline,4.0,2024.75,16521,0.01854941888943328
17-2199.08,Baseline,4.0,2024.75,16512,0.029591956057724106
17-2199.08,Baseline,4.0,2024.75,16516,0.016996373187606814
17-2199.08,Baseline,4.0,2024.75,21057,0.01695387843316707
17-2199.08,Baseline,4.0,2024.75,16520,0.0971707710404318
17-2199.08,Baseline,4.0,2024.75,21058,0.09177187933623529
17-2199.08,Baseline,4.0,2024.75,16528,0.015103369450262421
17-2199.08,Baseline,4.0,2024.75,16523,0.014599546750142339
17-2199.08,Baseline,4.0,2024.75,16514,0.013918713526132977
17-2199.08,Baseline,4.0,2024.75,16510,0.08431662049272984
17-2199.08,Baseline,4.0,2024.75,16515,0.01329688381008671
17-2199.08,Baseline,4.0,2024.75,16530,0.012906482361025214
17-2199.08,Baseline,4.0,2024.75,16518,0.02079460182419518
17-2199.08,Baseline,4.0,2024.75,16519,0.07694673429219209
17-2199.08,Baseline,4.0,2024.75,16525,0.07482540970714686
