soc,t_start,t_end,scenario,eta,rank,task_id,dims,w,p_start,p_end,Delta_p,r
27-3092.00,2024.0,2035.0,Slow,0.5,1,8653,D8,0.097478,0.0900024361554359,0.087435942121772,-0.0025664940336639075,0.005021028939113999
27-3092.00,2024.0,2035.0,Slow,0.5,2,8662,D2,0.059844,0.0669162497675505,0.0693442266996456,0.002427976932095094,0.0047501133498227995
27-3092.00,2024.0,2035.0,Slow,0.5,3,21183,D8,0.086698,0.0800491517040151,0.0777664838227434,-0.0022826678812716966,0.004465758088628299
27-3092.00,2024.0,2035.0,Slow,0.5,4,8663,D8,0.08669,0.0800417652220474,0.0777593079724288,-0.0022824572496185913,0.0044653460137856
27-3092.00,2024.0,2035.0,Slow,0.5,5,8656,D8,0.075418,0.0696342121296156,0.0676485348790475,-0.001985677250568099,0.0038847325604762506
27-3092.00,2024.0,2035.0,Slow,0.5,6,8657,D8,0.066548,0.0614444502479734,0.0596923108426484,-0.0017521394053250025,0.0034278445786757976
27-3092.00,2024.0,2035.0,Slow,0.5,7,8655,D9,0.085203,0.0891759614845071,0.0905399027911906,0.0013639413066835054,0.002668451395595302
27-3092.00,2024.0,2035.0,Slow,0.5,8,8659,D9,0.081086,0.0848669884033748,0.0861650242095523,0.0012980358061775027,0.002539512104776147
27-3092.00,2024.0,2035.0,Slow,0.5,9,8654,D9,0.070785,0.0740856593509716,0.0752187953367185,0.001133135985746908,0.0022168976683592523
27-3092.00,2024.0,2035.0,Slow,0.5,10,21185,D7,0.068376,0.0715643292192136,0.0726589016026484,0.0010945723834347998,0.0021414508013241976
27-3092.00,2024.0,2035.0,Slow,1.0,1,8662,D2,0.059844,0.0743972760023584,0.0796545318933124,0.0052572558909539935,0.009905265946656198
27-3092.00,2024.0,2035.0,Slow,1.0,2,8653,D8,0.097478,0.0832360925880205,0.0780912597694234,-0.005144832818597109,0.0096933701152883
27-3092.00,2024.0,2035.0,Slow,1.0,3,21183,D8,0.086698,0.0740310916842385,0.0694552210702873,-0.004575870613951205,0.008621389464856348
27-3092.00,2024.0,2035.0,Slow,1.0,4,8663,D8,0.08669,0.0740242605147366,0.0694488121361878,-0.004575448378548799,0.008620593931906104
27-3092.00,2024.0,2035.0,Slow,1.0,5,8656,D8,0.075418,0.064399142686589,0.0604186239899298,-0.003980518696659198,0.007499688005035098
27-3092.00,2024.0,2035.0,Slow,1.0,6,8657,D8,0.066548,0.0568250835013807,0.0533127183070599,-0.003512365194320799,0.006617640846470048
27-3092.00,2024.0,2035.0,Slow,1.0,7,8655,D9,0.085203,0.0925973951045015,0.0952685420775088,0.002671146973007299,0.005032771038754401
27-3092.00,2024.0,2035.0,Slow,1.0,8,8659,D9,0.081086,0.0881230987106511,0.0906651761428222,0.0025420774321710943,0.004789588071411097
27-3092.00,2024.0,2035.0,Slow,1.0,9,8654,D9,0.070785,0.0769281200482628,0.0791472571500588,0.002219137101795998,0.004181128575029398
27-3092.00,2024.0,2035.0,Slow,1.0,10,21185,D7,0.068376,0.0743100534918418,0.0764536675127841,0.0021436140209422916,0.004038833756392045
27-3092.00,2024.0,2035.0,Slow,2.0,1,8662,D2,0.059844,0.0906342265972339,0.1026221052495653,0.011987878652331405,0.02138905262478265
