soc,scenario,eta,t,R,J_5,J_8,J_10,A
17-2199.08,Slow,0.5,2024.0,0.04270925036598436,0.19999999999999996,0.125,0.09999999999999998,0.65
17-2199.08,Slow,0.5,2024.25,0.04365692524957174,0.19999999999999996,0.25,0.09999999999999998,0.665
17-2199.08,Slow,0.5,2024.5,0.044602956568143295,0.19999999999999996,0.25,0.09999999999999998,0.6799999999999999
17-2199.08,Slow,0.5,2024.75,0.04554734859367934,0.19999999999999996,0.25,0.09999999999999998,0.695
17-2199.08,Slow,0.5,2025.0,0.0464901055833675,0.19999999999999996,0.25,0.09999999999999998,0.71
17-2199.08,Slow,0.5,2025.25,0.04672553985392435,0.19999999999999996,0.25,0.09999999999999998,0.71375
17-2199.08,Slow,0.5,2025.5,0.046960872266110884,0.19999999999999996,0.25,0.09999999999999998,0.7174999999999999
17-2199.08,Slow,0.5,2025.75,0.04719610288601539,0.19999999999999996,0.25,0.09999999999999998,0.72125
17-2199.08,Slow,0.5,2026.0,0.04743123177966774,0.19999999999999996,0.25,0.09999999999999998,0.725
17-2199.08,Slow,0.5,2026.25,0.04766625901304204,0.19999999999999996,0.25,0.09999999999999998,0.72875
17-2199.08,Slow,0.5,2026.5,0.047901184652054445,0.19999999999999996,0.25,0.09999999999999998,0.7324999999999999
17-2199.08,Slow,0.5,2026.75,0.048136008762564436,0.19999999999999996,0.25,0.09999999999999998,0.73625
17-2199.08,Slow,0.5,2027.0,0.04837073141037494,0.19999999999999996,0.25,0.09999999999999998,0.74
17-2199.08,Slow,0.5,2027.25,0.04860535266123134,0.19999999999999996,0.25,0.09999999999999998,0.7437499999999999
17-2199.08,Slow,0.5,2027.5,0.04883987258082264,0.19999999999999996,0.25,0.09999999999999998,0.7474999999999999
17-2199.08,Slow,0.5,2027.75,0.049074291234781395,0.19999999999999996,0.25,0.09999999999999998,0.75125
17-2199.08,Slow,0.5,2028.0,0.0493086086886826,0.19999999999999996,0.25,0.09999999999999998,0.755
17-2199.08,Slow,0.5,2028.25,0.049542825008045535,0.19999999999999996,0.25,0.09999999999999998,0.7587499999999999
17-2199.08,Slow,0.5,2028.5,0.04977694025833265,0.19999999999999996,0.25,0.09999999999999998,0.7625
17-2199.08,Slow,0.5,2028.75,0.05001095450494968,0.19999999999999996,0.25,0.09999999999999998,0.76625
17-2199.08,Slow,0.5,2029.0,0.050244867813246184,0.19999999999999996,0.25,0.09999999999999998,0.77
17-2199.08,Slow,0.5,2029.25,0.050478680248515255,0.19999999999999996,0.25,0.09999999999999998,0.7737499999999999
17-2199.08,Slow,0.5,2029.5,0.05071239187599384,0.19999999999999996,0.25,0.09999999999999998,0.7775
17-2199.08,Slow,0.5,2029.75,0.05094600276086249,0.19999999999999996,0.25,0.09999999999999998,0.78125
17-2199.08,Slow,0.5,2030.0,0.05117951296824535,0.19999999999999996,0.25,0.09999999999999998,0.7849999999999999
17-2199.08,Slow,0.5,2030.25,0.05141292256321099,0.19999999999999996,0.25,0.09999999999999998,0.78875
17-2199.08,Slow,0.5,2030.5,0.051646231610771545,0.19999999999999996,0.25,0.09999999999999998,0.7925
17-2199.08,Slow,0.5,2030.75,0.051879440175883085,0.19999999999999996,0.25,0.09999999999999998,0.7962499999999999
17-2199.08,Slow,0.5,2031.0,0.052112548323446195,0.19999999999999996,0.25,0.09999999999999998,0.7999999999999999
17-2199.08,Slow,0.5,2031.25,0.05234555611830508,0.19999999999999996,0.25,0.09999999999999998,0.80375
17-2199.08,Slow,0.5,2031.5,0.05257846362524839,0.19999999999999996,0.25,0.09999999999999998,0.8075
17-2199.08,Slow,0.5,2031.75,0.05281127090900889,0.19999999999999996,0.25,0.09999999999999998,0.8112499999999999
17-2199.08,Slow,0.5,2032.0,0.053043978034263695,0.19999999999999996,0.25,0.09999999999999998,0.815
17-2199.08,Slow,0.5,2032.25,0.05327658506563446,0.19999999999999996,0.25,0.09999999999999998,0.81875
17-2199.08,Slow,0.5,2032.5,0.053509092067686934,0.19999999999999996,0.25,0.09999999999999998,0.8225
17-2199.08,Slow,0.5,2032.75,0.053741499104931645,0.19999999999999996,0.25,0.09999999999999998,0.8262499999999999
17-2199.08,Slow,0.5,2033.0,0.05397380624182319,0.19999999999999996,0.25,0.09999999999999998,0.83
17-2199.08,Slow,0.5,2033.25,0.054206013542761396,0.19999999999999996,0.25,0.09999999999999998,0.83375
17-2199.08,Slow,0.5,2033.5,0.05443812107209043,0.19999999999999996,0.25,0.09999999999999998,0.8374999999999999
17-2199.08,Slow,0.5,2033.75,0.05467012889409925,0.19999999999999996,0.25,0.09999999999999998,0.8412499999999999
17-2199.08,Slow,0.5,2034.0,0.05490203707302134,0.19999999999999996,0.25,0.09999999999999998,0.845
17-2199.08,Slow,0.5,2034.25,0.05513384567303545,0.19999999999999996,0.25,0.09999999999999998,0.8487499999999999
17-2199.08,Slow,0.5,2034.5,0.05536555475826464,0.19999999999999996,0.25,0.09999999999999998,0.8524999999999999
17-2199.08,Slow,0.5,2034.75,0.055597164392777954,0.19999999999999996,0.25,0.09999999999999998,0.85625
17-2199.08,Slow,0.5,2035.0,0.05582867464058793,0.19999999999999996,0.25,0.09999999999999998,0.86
17-2199.08,Slow,1.0,2024.0,0.08617739865968681,0.4,0.375,0.30000000000000004,0.65
17-2199.08,Slow,1.0,2024.25,0.08799180190273234,0.4,0.375,0.30000000000000004,0.665
17-2199.08,Slow,1.0,2024.5,0.08979904508825173,0.4,0.375,0.4,0.6799999999999999
