soc,scenario,eta,t,task_id,p_ij
17-2199.08,Baseline,8.0,2024.0,16517,0.03471811164018593
17-2199.08,Baseline,8.0,2024.0,16509,0.14704241259593331
17-2199.08,Baseline,8.0,2024.0,16511,0.141021601119563
17-2199.08,Baseline,8.0,2024.0,16521,0.004115931002005828
17-2199.08,Baseline,8.0,2024.0,16512,0.008422500532248
17-2199.08,Baseline,8.0,2024.0,16516,0.0037713256540010554
17-2199.08,Baseline,8.0,2024.0,21057,0.003761896491919823
17-2199.08,Baseline,8.0,2024.0,16520,0.12027150952625769
17-2199.08,Baseline,8.0,2024.0,21058,0.113589120901778
17-2199.08,Baseline,8.0,2024.0,16528,0.003351287009346419
17-2199.08,Baseline,8.0,2024.0,16523,0.0032394937783401458
17-2199.08,Baseline,8.0,2024.0,16514,0.00308842367794514
17-2199.08,Baseline,8.0,2024.0,16510,0.10436149797137755
17-2199.08,Baseline,8.0,2024.0,16515,0.0029504458673463786
17-2199.08,Baseline,8.0,2024.0,16530,0.002863819680456202
17-2199.08,Baseline,8.0,2024.0,16518,0.0059185862735982725
17-2199.08,Baseline,8.0,2024.0,16519,0.09523954361324453
17-2199.08,Baseline,8.0,2024.0,16525,0.09261390930668548
17-2199.08,Baseline,8.0,2024.0,16522,0.09226933787537853
17-2199.08,Baseline,8.0,2024.0,16513,0.017389245482388776
17-2199.08,Baseline,8.0,2024.25,16517,0.034608761301462246
17-2199.08,Baseline,8.0,2024.25,16509,0.14730726201936598
17-2199.08,Baseline,8.0,2024.25,16511,0.14127560599535827
17-2199.08,Baseline,8.0,2024.25,16521,0.003935522061247021
17-2199.08,Baseline,8.0,2024.25,16512,0.008258778973014483
17-2199.08,Baseline,8.0,2024.25,16516,0.003606021409065152
17-2199.08,Baseline,8.0,2024.25,21057,0.003597005544763325
17-2199.08,Baseline,8.0,2024.25,16520,0.12048813981265635
17-2199.08,Baseline,8.0,2024.25,21058,0.11379371502294308
17-2199.08,Baseline,8.0,2024.25,16528,0.0032043938424686706
17-2199.08,Baseline,8.0,2024.25,16523,0.003097500717508883
17-2199.08,Baseline,8.0,2024.25,16514,0.002953052301680335
17-2199.08,Baseline,8.0,2024.25,16510,0.10454947150961268
17-2199.08,Baseline,8.0,2024.25,16515,0.002821122316141375
17-2199.08,Baseline,8.0,2024.25,16530,0.002738293116764161
17-2199.08,Baseline,8.0,2024.25,16518,0.00580353728435078
17-2199.08,Baseline,8.0,2024.25,16519,0.09541108689636021
17-2199.08,Baseline,8.0,2024.25,16525,0.09278072335746634
17-2199.08,Baseline,8.0,2024.25,16522,0.09243553129199472
17-2199.08,Baseline,8.0,2024.25,16513,0.01733447522577587
17-2199.08,Baseline,8.0,2024.5,16517,0.034503581133919284
17-2199.08,Baseline,8.0,2024.5,16509,0.14756201117748885
17-2199.08,Baseline,8.0,2024.5,16511,0.14151992417218978
17-2199.08,Baseline,8.0,2024.5,16521,0.003761993173849519
17-2199.08,Baseline,8.0,2024.5,16512,0.008101301079195692
17-2199.08,Baseline,8.0,2024.5,16516,0.003447021186652888
17-2199.08,Baseline,8.0,2024.5,21057,0.00343840285865676
17-2199.08,Baseline,8.0,2024.5,16520,0.1206965087128741
17-2199.08,Baseline,8.0,2024.5,21058,0.11399050676765664
17-2199.08,Baseline,8.0,2024.5,16528,0.0030631025754872315
17-2199.08,Baseline,8.0,2024.5,16523,0.0029609226867273798
17-2199.08,Baseline,8.0,2024.5,16514,0.002822843431710274
17-2199.08,Baseline,8.0,2024.5,16510,0.10473027651191977
17-2199.08,Baseline,8.0,2024.5,16515,0.0026967306321122528
17-2199.08,Baseline,8.0,2024.5,16530,0.002617553618795305
17-2199.08,Baseline,8.0,2024.5,16518,0.005692875789325347
17-2199.08,Baseline,8.0,2024.5,16519,0.09557608822575318
17-2199.08,Baseline,8.0,2024.5,16525,0.09294117580795204
17-2199.08,Baseline,8.0,2024.5,16522,0.09259538677674455
17-2199.08,Baseline,8.0,2024.5,16513,0.017281793680989133
17-2199.08,Baseline,8.0,2024.75,16517,0.03440233705138852
17-2199.08,Baseline,8.0,2024.75,16509,0.1478072270332166
17-2199.08,Baseline,8.0,2024.75,16511,0.14175509939805916
17-2199.08,Baseline,8.0,2024.75,16521,0.0035949581385614406
17-2199.08,Baseline,8.0,2024.75,16512,0.00794971637220187
17-2199.08,Baseline,8.0,2024.75,16516,0.003293971120120697
17-2199.08,Baseline,8.0,2024.75,21057,0.0032857354517027313
17-2199.08,Baseline,8.0,2024.75,16520,0.12089707996716378
17-2199.08,Baseline,8.0,2024.75,21058,0.11417993411036374
17-2199.08,Baseline,8.0,2024.75,16528,0.002927098754336232
17-2199.08,Baseline,8.0,2024.75,16523,0.0028294557215822265
17-2199.08,Baseline,8.0,2024.75,16514,0.002697507278655546
17-2199.08,Baseline,8.0,2024.75,16510,0.10490431537307748
17-2199.08,Baseline,8.0,2024.75,16515,0.002576993972453091
17-2199.08,Baseline,8.0,2024.75,16530,0.0025013324719513528
17-2199.08,Baseline,8.0,2024.75,16518,0.005586355503257571
17-2199.08,Baseline,8.0,2024.75,16519,0.09573491482397024
17-2199.08,Baseline,8.0,2024.75,16525,0.09309562375682606
17-2199.08,Baseline,8.0,2024.75,16522,0.09274926009972054
17-2199.08,Baseline,8.0,2024.75,16513,0.017231083601391115
17-2199.08,Baseline,8.0,2025.0,16517,0.03430481216599265
17-2199.08,Baseline,8.0,2025.0,16509,0.148043434894746
17-2199.08,Baseline,8.0,2025.0,16511,0.1419816354718479
17-2199.08,Baseline,8.0,2025.0,16521,0.003434059128304563
17-2199.08,Baseline,8.0,2025.0,16512,0.007803700123075927
17-2199.08,Baseline,8.0,2025.0,16516,0.0031465433413777034
17-2199.08,Baseline,8.0,2025.0,21057,0.003138676275554311
17-2199.08,Baseline,8.0,2025.0,16520,0.12109028324482066
