soc,scenario,eta,t,task_id,p_ij
27-3092.00,Baseline,1.0,2024.0,8653,0.08323609258802052
27-3092.00,Baseline,1.0,2024.0,21183,0.07403109168423852
27-3092.00,Baseline,1.0,2024.0,8663,0.07402426051473665
27-3092.00,Baseline,1.0,2024.0,8655,0.09259739510450155
27-3092.00,Baseline,1.0,2024.0,8659,0.08812309871065117
27-3092.00,Baseline,1.0,2024.0,8656,0.06439914268658908
27-3092.00,Baseline,1.0,2024.0,8654,0.07692812004826287
27-3092.00,Baseline,1.0,2024.0,21185,0.0743100534918418
27-3092.00,Baseline,1.0,2024.0,8657,0.05682508350138071
27-3092.00,Baseline,1.0,2024.0,21184,0.07153657659188889
27-3092.00,Baseline,1.0,2024.0,8662,0.07439727600235849
27-3092.00,Baseline,1.0,2024.0,8661,0.06117407571373411
27-3092.00,Baseline,1.0,2024.0,8658,0.06076544432095107
27-3092.00,Baseline,1.0,2024.0,8660,0.04765228904084456
27-3092.00,Baseline,1.0,2024.25,8653,0.08287819141317875
27-3092.00,Baseline,1.0,2024.25,21183,0.07371277046246098
27-3092.00,Baseline,1.0,2024.25,8663,0.07370596866583706
27-3092.00,Baseline,1.0,2024.25,8655,0.0927832139004707
27-3092.00,Baseline,1.0,2024.25,8659,0.08829993876193994
27-3092.00,Baseline,1.0,2024.25,8656,0.06412223722274886
27-3092.00,Baseline,1.0,2024.25,8654,0.07708249470024317
27-3092.00,Baseline,1.0,2024.25,21185,0.07445917436778735
27-3092.00,Baseline,1.0,2024.25,8657,0.056580745215989436
27-3092.00,Baseline,1.0,2024.25,21184,0.07168013182381586
27-3092.00,Baseline,1.0,2024.25,8662,0.07476299790745419
27-3092.00,Baseline,1.0,2024.25,8661,0.06129683611191619
27-3092.00,Baseline,1.0,2024.25,8658,0.060887384702616315
27-3092.00,Baseline,1.0,2024.25,8660,0.047747914743541175
27-3092.00,Baseline,1.0,2024.5,8653,0.08251885092157513
