soc,t_start,t_end,scenario,eta,rank,task_id,dims,w,p_start,p_end,Delta_p,r
17-2199.08,2024.0,2035.0,Slow,0.5,1,16509,D1,0.064011,0.0704666044907757,0.0724496563357944,0.0019830518450186935,0.0042193281678971975
17-2199.08,2024.0,2035.0,Slow,0.5,2,16511,D4,0.06139,0.0675812727451332,0.0694831263760044,0.0019018536308711975,0.0040465631880022
17-2199.08,2024.0,2035.0,Slow,0.5,3,16521,D3,0.060675,0.0547791936508045,0.0529681388647672,-0.0018110547860372972,0.0038534305676163998
17-2199.08,2024.0,2035.0,Slow,0.5,4,16516,D3,0.055595,0.0501928186405682,0.0485333939874204,-0.0016594246531477994,0.0035308030062897976
17-2199.08,2024.0,2035.0,Slow,0.5,5,21057,D3,0.055456,0.0500673253085952,0.0484120495901859,-0.001655275718409302,0.0035219752049070498
17-2199.08,2024.0,2035.0,Slow,0.5,6,16520,D4,0.052357,0.0576372812692122,0.0592592938209556,0.0016220125517434,0.0034511469104777995
17-2199.08,2024.0,2035.0,Slow,0.5,7,21058,D4,0.049448,0.0544349042955098,0.0559667964333062,0.0015318921377963993,0.003259398216653102
17-2199.08,2024.0,2035.0,Slow,0.5,8,16528,D3,0.049403,0.0446024969745479,0.0431278939321977,-0.0014746030423501977,0.0031375530339011505
17-2199.08,2024.0,2035.0,Slow,0.5,9,16523,D3,0.047755,0.0431146335854003,0.0416892207908852,-0.0014254127945151004,0.003032889604557401
17-2199.08,2024.0,2035.0,Slow,0.5,10,16510,D4,0.045431,0.0500127838749657,0.0514202299134754,0.0014074460385096951,0.002994614956737699
17-2199.08,2024.0,2035.0,Slow,1.0,1,16509,D1,0.064011,0.0772230236445336,0.0810198352687708,0.0037968116242372008,0.008504417634385399
17-2199.08,2024.0,2035.0,Slow,1.0,2,16511,D4,0.06139,0.0740610429697696,0.0777023900134327,0.00364134704366309,0.008156195006716348
17-2199.08,2024.0,2035.0,Slow,1.0,3,16521,D3,0.060675,0.0489312250825395,0.0455563859268771,-0.003374839155662397,0.0075593070365614495
17-2199.08,2024.0,2035.0,Slow,1.0,4,16520,D4,0.052357,0.0631636101444572,0.0662691649117656,0.003105554767308394,0.006956082455882799
17-2199.08,2024.0,2035.0,Slow,1.0,5,16516,D3,0.055595,0.0448344698551921,0.0417421883082774,-0.0030922815469146964,0.006926405845861298
17-2199.08,2024.0,2035.0,Slow,1.0,6,21057,D3,0.055456,0.0447223735999557,0.0416378234521779,-0.0030845501477778023,0.006909088273911051
17-2199.08,2024.0,2035.0,Slow,1.0,7,21058,D4,0.049448,0.0596541855802112,0.0625871930507284,0.00293300747051721,0.006569596525364204
17-2199.08,2024.0,2035.0,Slow,1.0,8,16528,D3,0.049403,0.039840944585953,0.0370930718408819,-0.0027478727450711005,0.006154964079559053
17-2199.08,2024.0,2035.0,Slow,1.0,9,16510,D4,0.045431,0.0548080671633752,0.0575028063316543,0.0026947391682791005,0.006035903165827149
17-2199.08,2024.0,2035.0,Slow,1.0,10,16523,D3,0.047755,0.0385119184807033,0.0358557100937456,-0.002656208386957702,0.005949644953127199
17-2199.08,2024.0,2035.0,Slow,2.0,1,16509,D1,0.064011,0.091149498820361,0.097662374752603,0.006512875932242007,0.016825687376301503
17-2199.08,2024.0,2035.0,Slow,2.0,2,16511,D4,0.06139,0.0874172834759957,0.0936634826211479,0.006246199145152204,0.01613674131057395
17-2199.08,2024.0,2035.0,Slow,2.0,3,16521,D3,0.060675,0.0377849513006794,0.032291673966134,-0.005493277334545403,0.014191663016933
17-2199.08,2024.0,2035.0,Slow,2.0,4,16520,D4,0.052357,0.0745545970182881,0.0798817227495592,0.005327125731271101,0.013762361374779597
