soc,scenario,eta,t,task_id,p_ij
49-1011.00,Fast,0.5,2024.0,2914,0.05724533686482101
49-1011.00,Fast,0.5,2024.0,2912,0.05275134133614127
49-1011.00,Fast,0.5,2024.0,15263,0.056215144009706175
49-1011.00,Fast,0.5,2024.0,2929,0.06288884414552752
49-1011.00,Fast,0.5,2024.0,15262,0.05435888910595296
49-1011.00,Fast,0.5,2024.0,2918,0.06166456578808357
49-1011.00,Fast,0.5,2024.0,2925,0.061407052693291435
49-1011.00,Fast,0.5,2024.0,2919,0.05117387619555626
49-1011.00,Fast,0.5,2024.0,2915,0.05745488138254101
49-1011.00,Fast,0.5,2024.0,2920,0.04929186647042517
49-1011.00,Fast,0.5,2024.0,2916,0.04899043967207676
49-1011.00,Fast,0.5,2024.0,2923,0.05203986718906664
49-1011.00,Fast,0.5,2024.0,2931,0.04592656981038337
49-1011.00,Fast,0.5,2024.0,2917,0.04569382253570928
49-1011.00,Fast,0.5,2024.0,2926,0.045794879308236315
49-1011.00,Fast,0.5,2024.0,2930,0.044399185708016216
49-1011.00,Fast,0.5,2024.0,2927,0.038422377966690395
49-1011.00,Fast,0.5,2024.0,15264,0.03800076200191191
49-1011.00,Fast,0.5,2024.0,2921,0.0399065731764743
49-1011.00,Fast,0.5,2024.0,2932,0.03637372463938856
49-1011.00,Fast,0.5,2024.25,2914,0.05718447421256891
49-1011.00,Fast,0.5,2024.25,2912,0.05261507789171806
49-1011.00,Fast,0.5,2024.25,15263,0.056155376647881686
49-1011.00,Fast,0.5,2024.25,2929,0.06300436816388517
49-1011.00,Fast,0.5,2024.25,15262,0.054301095295213785
49-1011.00,Fast,0.5,2024.25,2918,0.06177784086138013
49-1011.00,Fast,0.5,2024.25,2925,0.061519854726450364
49-1011.00,Fast,0.5,2024.25,2919,0.05111946865772245
49-1011.00,Fast,0.5,2024.25,2915,0.05756042345223171
49-1011.00,Fast,0.5,2024.25,2920,0.049239459865937356
49-1011.00,Fast,0.5,2024.25,2916,0.0489383535414548
49-1011.00,Fast,0.5,2024.25,2923,0.0520613003682944
49-1011.00,Fast,0.5,2024.25,2931,0.045877741154625756
49-1011.00,Fast,0.5,2024.25,2917,0.04564524133445568
49-1011.00,Fast,0.5,2024.25,2926,0.04581374042201205
49-1011.00,Fast,0.5,2024.25,2930,0.04448074504361045
49-1011.00,Fast,0.5,2024.25,2927,0.03838152769037169
49-1011.00,Fast,0.5,2024.25,15264,0.03796035998334228
49-1011.00,Fast,0.5,2024.25,2921,0.03992300912801411
49-1011.00,Fast,0.5,2024.25,2932,0.03644054155882905
49-1011.00,Fast,0.5,2024.5,2914,0.057123740839957436
49-1011.00,Fast,0.5,2024.5,2912,0.05247910388734506
49-1011.00,Fast,0.5,2024.5,15263,0.05609573623916838
49-1011.00,Fast,0.5,2024.5,2929,0.06311964679524407
49-1011.00,Fast,0.5,2024.5,15262,0.054243424245524384
49-1011.00,Fast,0.5,2024.5,2918,0.061890875324709424
49-1011.00,Fast,0.5,2024.5,2925,0.06163241715443654
49-1011.00,Fast,0.5,2024.5,2919,0.051065176688084864
49-1011.00,Fast,0.5,2024.5,2915,0.057665741337790864
49-1011.00,Fast,0.5,2024.5,2920,0.049187164579421135
49-1011.00,Fast,0.5,2024.5,2916,0.04888637804807915
49-1011.00,Fast,0.5,2024.5,2923,0.0520826880208551
49-1011.00,Fast,0.5,2024.5,2931,0.045829016216843536
49-1011.00,Fast,0.5,2024.5,2917,0.04559676332555415
49-1011.00,Fast,0.5,2024.5,2926,0.045832561472499075
49-1011.00,Fast,0.5,2024.5,2930,0.04456213113730339
49-1011.00,Fast,0.5,2024.5,2927,0.03834076418498469
49-1011.00,Fast,0.5,2024.5,15264,0.037920043783550635
49-1011.00,Fast,0.5,2024.5,2921,0.03993941016760334
49-1011.00,Fast,0.5,2024.5,2932,0.03650721655104469
49-1011.00,Fast,0.5,2024.75,2914,0.05706313633551517
49-1011.00,Fast,0.5,2024.75,2912,0.05234341840179212
49-1011.00,Fast,0.5,2024.75,15263,0.056036222379499706
49-1011.00,Fast,0.5,2024.75,2929,0.0632346808206222
49-1011.00,Fast,0.5,2024.75,15262,0.054185875566160724
49-1011.00,Fast,0.5,2024.75,2918,0.062003669943885176
49-1011.00,Fast,0.5,2024.75,2925,0.061744740739865626
49-1011.00,Fast,0.5,2024.75,2919,0.051010999918812895
49-1011.00,Fast,0.5,2024.75,2915,0.057770835752752006
49-1011.00,Fast,0.5,2024.75,2920,0.04913498025657352
49-1011.00,Fast,0.5,2024.75,2916,0.04883451283981344
49-1011.00,Fast,0.5,2024.75,2923,0.05210403029165102
49-1011.00,Fast,0.5,2024.75,2931,0.04578039466692299
49-1011.00,Fast,0.5,2024.75,2917,0.045548388180563934
49-1011.00,Fast,0.5,2024.75,2926,0.045851342587210846
49-1011.00,Fast,0.5,2024.75,2930,0.04464334454048958
49-1011.00,Fast,0.5,2024.75,2927,0.03830008717435475
49-1011.00,Fast,0.5,2024.75,15264,0.037879813129392856
49-1011.00,Fast,0.5,2024.75,2921,0.039955776406359785
49-1011.00,Fast,0.5,2024.75,2932,0.03657375006776161
49-1011.00,Fast,0.5,2025.0,2914,0.05700266028951504
49-1011.00,Fast,0.5,2025.0,2912,0.05220802051773439
49-1011.00,Fast,0.5,2025.0,15263,0.05597683466652209
49-1011.00,Fast,0.5,2025.0,2929,0.06334947101772669
49-1011.00,Fast,0.5,2025.0,15262,0.05412844886805516
49-1011.00,Fast,0.5,2025.0,2918,0.06211622548147459
