soc,scenario,eta,t,R,J_5,J_8,J_10,A
49-1011.00,Slow,0.5,2024.0,0.02966207403062571,0.6,0.125,0.09999999999999998,0.65
49-1011.00,Slow,0.5,2024.25,0.030314323724707663,0.6,0.125,0.09999999999999998,0.665
49-1011.00,Slow,0.5,2024.5,0.0309651879614866,0.6,0.125,0.09999999999999998,0.6799999999999999
49-1011.00,Slow,0.5,2024.75,0.03161467115059795,0.6,0.125,0.09999999999999998,0.695
49-1011.00,Slow,0.5,2025.0,0.03226277768298321,0.6,0.125,0.09999999999999998,0.71
49-1011.00,Slow,0.5,2025.25,0.03242458972625776,0.6,0.125,0.09999999999999998,0.71375
49-1011.00,Slow,0.5,2025.5,0.03258631606998586,0.6,0.125,0.09999999999999998,0.7174999999999999
49-1011.00,Slow,0.5,2025.75,0.03274795678223221,0.6,0.25,0.09999999999999998,0.72125
49-1011.00,Slow,0.5,2026.0,0.03290951193098971,0.6,0.25,0.09999999999999998,0.725
49-1011.00,Slow,0.5,2026.25,0.03307098158417915,0.6,0.25,0.09999999999999998,0.72875
49-1011.00,Slow,0.5,2026.5,0.033232365809649306,0.6,0.25,0.09999999999999998,0.7324999999999999
49-1011.00,Slow,0.5,2026.75,0.033393664675177306,0.6,0.25,0.09999999999999998,0.73625
49-1011.00,Slow,0.5,2027.0,0.03355487824846852,0.6,0.25,0.09999999999999998,0.74
49-1011.00,Slow,0.5,2027.25,0.033716006597156956,0.6,0.25,0.09999999999999998,0.7437499999999999
49-1011.00,Slow,0.5,2027.5,0.03387704978880485,0.6,0.25,0.09999999999999998,0.7474999999999999
49-1011.00,Slow,0.5,2027.75,0.0340380078909034,0.6,0.25,0.09999999999999998,0.75125
49-1011.00,Slow,0.5,2028.0,0.03419888097087191,0.6,0.25,0.09999999999999998,0.755
49-1011.00,Slow,0.5,2028.25,0.0343596690960592,0.6,0.25,0.09999999999999998,0.7587499999999999
49-1011.00,Slow,0.5,2028.5,0.0345203723337425,0.6,0.25,0.09999999999999998,0.7625
49-1011.00,Slow,0.5,2028.75,0.034680990751127905,0.6,0.25,0.09999999999999998,0.76625
49-1011.00,Slow,0.5,2029.0,0.034841524415351155,0.6,0.25,0.09999999999999998,0.77
49-1011.00,Slow,0.5,2029.25,0.03500197339347671,0.6,0.25,0.09999999999999998,0.7737499999999999
49-1011.00,Slow,0.5,2029.5,0.03516233775249822,0.6,0.25,0.09999999999999998,0.7775
49-1011.00,Slow,0.5,2029.75,0.03532261755933911,0.6,0.25,0.09999999999999998,0.78125
49-1011.00,Slow,0.5,2030.0,0.03548281288085211,0.6,0.25,0.09999999999999998,0.7849999999999999
49-1011.00,Slow,0.5,2030.25,0.035642923783819024,0.6,0.25,0.09999999999999998,0.78875
49-1011.00,Slow,0.5,2030.5,0.03580295033495196,0.6,0.25,0.09999999999999998,0.7925
49-1011.00,Slow,0.5,2030.75,0.03596289260089246,0.6,0.25,0.09999999999999998,0.7962499999999999
49-1011.00,Slow,0.5,2031.0,0.036122750648211646,0.6,0.25,0.09999999999999998,0.7999999999999999
49-1011.00,Slow,0.5,2031.25,0.03628252454341115,0.6,0.25,0.09999999999999998,0.80375
49-1011.00,Slow,0.5,2031.5,0.03644221435292207,0.6,0.25,0.09999999999999998,0.8075
49-1011.00,Slow,0.5,2031.75,0.036601820143105465,0.6,0.25,0.09999999999999998,0.8112499999999999
49-1011.00,Slow,0.5,2032.0,0.03676134198025341,0.6,0.25,0.09999999999999998,0.815
49-1011.00,Slow,0.5,2032.25,0.03692077993058752,0.6,0.25,0.09999999999999998,0.81875
49-1011.00,Slow,0.5,2032.5,0.0370801340602598,0.6,0.25,0.09999999999999998,0.8225
49-1011.00,Slow,0.5,2032.75,0.03723940443535326,0.6,0.25,0.09999999999999998,0.8262499999999999
49-1011.00,Slow,0.5,2033.0,0.037398591121880764,0.6,0.25,0.09999999999999998,0.83
49-1011.00,Slow,0.5,2033.25,0.03755769418578671,0.6,0.25,0.09999999999999998,0.83375
49-1011.00,Slow,0.5,2033.5,0.03771671369294516,0.6,0.25,0.09999999999999998,0.8374999999999999
49-1011.00,Slow,0.5,2033.75,0.037875649709161754,0.6,0.25,0.09999999999999998,0.8412499999999999
49-1011.00,Slow,0.5,2034.0,0.03803450230017306,0.6,0.25,0.09999999999999998,0.845
49-1011.00,Slow,0.5,2034.25,0.03819327153164616,0.6,0.25,0.09999999999999998,0.8487499999999999
49-1011.00,Slow,0.5,2034.5,0.038351957469179465,0.6,0.25,0.09999999999999998,0.8524999999999999
49-1011.00,Slow,0.5,2034.75,0.0385105601783028,0.6,0.25,0.09999999999999998,0.85625
49-1011.00,Slow,0.5,2035.0,0.03866907972447706,0.6,0.25,0.09999999999999998,0.86
49-1011.00,Slow,1.0,2024.0,0.06137219286438436,0.6,0.25,0.19999999999999996,0.65
49-1011.00,Slow,1.0,2024.25,0.06264816440145922,0.6,0.25,0.19999999999999996,0.665
49-1011.00,Slow,1.0,2024.5,0.06391844580041586,0.6,0.25,0.19999999999999996,0.6799999999999999
49-1011.00,Slow,1.0,2024.75,0.06518307503894995,0.6,0.25,0.19999999999999996,0.695
49-1011.00,Slow,1.0,2025.0,0.06644208975754087,0.6,0.25,0.19999999999999996,0.71
49-1011.00,Slow,1.0,2025.25,0.06675597054763581,0.6,0.25,0.19999999999999996,0.71375
49-1011.00,Slow,1.0,2025.5,0.06706950334322005,0.6,0.25,0.19999999999999996,0.7174999999999999
49-1011.00,Slow,1.0,2025.75,0.0673826887226965,0.6,0.25,0.19999999999999996,0.72125
49-1011.00,Slow,1.0,2026.0,0.06769552726318695,0.6,0.25,0.19999999999999996,0.725
