soc,scenario,eta,t,task_id,p_ij
17-2199.08,Baseline,2.0,2025.0,16512,0.0464675284188988
17-2199.08,Baseline,2.0,2025.0,16516,0.03311577394782289
17-2199.08,Baseline,2.0,2025.0,21057,0.03303297706719068
17-2199.08,Baseline,2.0,2025.0,16520,0.07614811503769679
17-2199.08,Baseline,2.0,2025.0,21058,0.07191726020176921
17-2199.08,Baseline,2.0,2025.0,16528,0.029427440963113484
17-2199.08,Baseline,2.0,2025.0,16523,0.028445791615761887
17-2199.08,Baseline,2.0,2025.0,16514,0.027119254542611392
17-2199.08,Baseline,2.0,2025.0,16510,0.06607492817154541
17-2199.08,Baseline,2.0,2025.0,16515,0.0259076800447272
17-2199.08,Baseline,2.0,2025.0,16530,0.02514702093273206
17-2199.08,Baseline,2.0,2025.0,16518,0.03265325716693395
17-2199.08,Baseline,2.0,2025.0,16519,0.06029949862411728
17-2199.08,Baseline,2.0,2025.0,16525,0.05863711736682432
17-2199.08,Baseline,2.0,2025.0,16522,0.05841895709683837
17-2199.08,Baseline,2.0,2025.0,16513,0.0362627130006013
17-2199.08,Baseline,2.0,2025.25,16517,0.07242737642664693
17-2199.08,Baseline,2.0,2025.25,16509,0.09333610578623242
17-2199.08,Baseline,2.0,2025.25,16511,0.0895143574419523
17-2199.08,Baseline,2.0,2025.25,16521,0.03594066029772684
17-2199.08,Baseline,2.0,2025.25,16512,0.046358667167496134
17-2199.08,Baseline,2.0,2025.25,16516,0.03293153702928922
17-2199.08,Baseline,2.0,2025.25,21057,0.03284920078237725
17-2199.08,Baseline,2.0,2025.25,16520,0.07634310494524021
17-2199.08,Baseline,2.0,2025.25,21058,0.07210141630216088
17-2199.08,Baseline,2.0,2025.25,16528,0.029263723785555817
17-2199.08,Baseline,2.0,2025.25,16523,0.028287535764613844
17-2199.08,Baseline,2.0,2025.25,16514,0.026968378772722002
17-2199.08,Baseline,2.0,2025.25,16510,0.0662441240095347
17-2199.08,Baseline,2.0,2025.25,16515,0.02576354477114678
17-2199.08,Baseline,2.0,2025.25,16530,0.025007117524336774
17-2199.08,Baseline,2.0,2025.25,16518,0.032576759135760004
17-2199.08,Baseline,2.0,2025.25,16519,0.06045390551463336
17-2199.08,Baseline,2.0,2025.25,16525,0.05878726745377407
17-2199.08,Baseline,2.0,2025.25,16522,0.0585685485481495
17-2199.08,Baseline,2.0,2025.25,16513,0.03627666854065098
17-2199.08,Baseline,2.0,2025.5,16517,0.07245510880547763
17-2199.08,Baseline,2.0,2025.5,16509,0.09357338358846462
17-2199.08,Baseline,2.0,2025.5,16511,0.08974191964655828
17-2199.08,Baseline,2.0,2025.5,16521,0.03574052862217315
17-2199.08,Baseline,2.0,2025.5,16512,0.04625031479074609
17-2199.08,Baseline,2.0,2025.5,16516,0.032748161330856465
17-2199.08,Baseline,2.0,2025.5,21057,0.032666283564420834
17-2199.08,Baseline,2.0,2025.5,16520,0.07653718336756561
17-2199.08,Baseline,2.0,2025.5,21058,0.07228471156023805
17-2199.08,Baseline,2.0,2025.5,16528,0.029100771908054723
17-2199.08,Baseline,2.0,2025.5,16523,0.02813001968441498
17-2199.08,Baseline,2.0,2025.5,16514,0.02681820827540666
17-2199.08,Baseline,2.0,2025.5,16510,0.06641252893733164
17-2199.08,Baseline,2.0,2025.5,16515,0.025620083261521202
17-2199.08,Baseline,2.0,2025.5,16530,0.02486786809793628
17-2199.08,Baseline,2.0,2025.5,16518,0.032500618696553234
17-2199.08,Baseline,2.0,2025.5,16519,0.06060759062626334
17-2199.08,Baseline,2.0,2025.5,16525,0.05893671566037287
17-2199.08,Baseline,2.0,2025.5,16522,0.05871744073046598
17-2199.08,Baseline,2.0,2025.5,16513,0.03629055884517836
17-2199.08,Baseline,2.0,2025.75,16517,0.0724827118508934
17-2199.08,Baseline,2.0,2025.75,16509,0.09380955481600904
17-2199.08,Baseline,2.0,2025.75,16511,0.0899684205863804
17-2199.08,Baseline,2.0,2025.75,16521,0.03554133028570261
17-2199.08,Baseline,2.0,2025.75,16512,0.04614246772884784
17-2199.08,Baseline,2.0,2025.75,16516,0.03256564082791325
17-2199.08,Baseline,2.0,2025.75,21057,0.032484219403772954
17-2199.08,Baseline,2.0,2025.75,16520,0.07673035668091087
17-2199.08,Baseline,2.0,2025.75,21058,0.07246715199796934
17-2199.08,Baseline,2.0,2025.75,16528,0.0289385799770015
17-2199.08,Baseline,2.0,2025.75,16523,0.027973238200143854
17-2199.08,Baseline,2.0,2025.75,16514,0.02666873811697517
17-2199.08,Baseline,2.0,2025.75,16510,0.06658014848769911
17-2199.08,Baseline,2.0,2025.75,16515,0.025477290802576835
17-2199.08,Baseline,2.0,2025.75,16530,0.024729268078640412
17-2199.08,Baseline,2.0,2025.75,16518,0.03242483334780141
17-2199.08,Baseline,2.0,2025.75,16519,0.06076055900816633
17-2199.08,Baseline,2.0,2025.75,16525,0.05908546689658085
17-2199.08,Baseline,2.0,2025.75,16522,0.0588656385354804
17-2199.08,Baseline,2.0,2025.75,16513,0.03630438437053443
17-2199.08,Baseline,2.0,2026.0,16517,0.0725101864655333
17-2199.08,Baseline,2.0,2026.0,16509,0.09404462719183125
17-2199.08,Baseline,2.0,2026.0,16511,0.09019386766815893
