soc,scenario,eta,eps,task_id,t_star
27-3092.00,Baseline,0.5,0.01,8653,
27-3092.00,Baseline,0.5,0.01,21183,
27-3092.00,Baseline,0.5,0.01,8663,
27-3092.00,Baseline,0.5,0.01,8655,
27-3092.00,Baseline,0.5,0.01,8659,
27-3092.00,Baseline,0.5,0.01,8656,
27-3092.00,Baseline,0.5,0.01,8654,
27-3092.00,Baseline,0.5,0.01,21185,
27-3092.00,Baseline,0.5,0.01,8657,
27-3092.00,Baseline,0.5,0.01,21184,
27-3092.00,Baseline,0.5,0.01,8662,
27-3092.00,Baseline,0.5,0.01,8661,
27-3092.00,Baseline,0.5,0.01,8658,
27-3092.00,Baseline,0.5,0.01,8660,
27-3092.00,Baseline,0.5,0.05,8653,
27-3092.00,Baseline,0.5,0.05,21183,
27-3092.00,Baseline,0.5,0.05,8663,
27-3092.00,Baseline,0.5,0.05,8655,
27-3092.00,Baseline,0.5,0.05,8659,
27-3092.00,Baseline,0.5,0.05,8656,
27-3092.00,Baseline,0.5,0.05,8654,
27-3092.00,Baseline,0.5,0.05,21185,
27-3092.00,Baseline,0.5,0.05,8657,
27-3092.00,Baseline,0.5,0.05,21184,
27-3092.00,Baseline,0.5,0.05,8662,
27-3092.00,Baseline,0.5,0.05,8661,
27-3092.00,Baseline,0.5,0.05,8658,
27-3092.00,Baseline,0.5,0.05,8660,2024.0
27-3092.00,Baseline,1.0,0.01,8653,
27-3092.00,Baseline,1.0,0.01,21183,
27-3092.00,Baseline,1.0,0.01,8663,
27-3092.00,Baseline,1.0,0.01,8655,
27-3092.00,Baseline,1.0,0.01,8659,
27-3092.00,Baseline,1.0,0.01,8656,
27-3092.00,Baseline,1.0,0.01,8654,
27-3092.00,Baseline,1.0,0.01,21185,
27-3092.00,Baseline,1.0,0.01,8657,
27-3092.00,Baseline,1.0,0.01,21184,
27-3092.00,Baseline,1.0,0.01,8662,
27-3092.00,Baseline,1.0,0.01,8661,
27-3092.00,Baseline,1.0,0.01,8658,
27-3092.00,Baseline,1.0,0.01,8660,
27-3092.00,Baseline,1.0,0.05,8653,
27-3092.00,Baseline,1.0,0.05,21183,
27-3092.00,Baseline,1.0,0.05,8663,
27-3092.00,Baseline,1.0,0.05,8655,
27-3092.00,Baseline,1.0,0.05,8659,
27-3092.00,Baseline,1.0,0.05,8656,
27-3092.00,Baseline,1.0,0.05,8654,
27-3092.00,Baseline,1.0,0.05,21185,
27-3092.00,Baseline,1.0,0.05,8657,
27-3092.00,Baseline,1.0,0.05,21184,
27-3092.00,Baseline,1.0,0.05,8662,
27-3092.00,Baseline,1.0,0.05,8661,
27-3092.00,Baseline,1.0,0.05,8658,
27-3092.00,Baseline,1.0,0.05,8660,2024.0
27-3092.00,Baseline,2.0,0.01,8653,
27-3092.00,Baseline,2.0,0.01,21183,
27-3092.00,Baseline,2.0,0.01,8663,
27-3092.00,Baseline,2.0,0.01,8655,
27-3092.00,Baseline,2.0,0.01,8659,
27-3092.00,Baseline,2.0,0.01,8656,
27-3092.00,Baseline,2.0,0.01,8654,
27-3092.00,Baseline,2.0,0.01,21185,
27-3092.00,Baseline,2.0,0.01,8657,
27-3092.00,Baseline,2.0,0.01,21184,
27-3092.00,Baseline,2.0,0.01,8662,
27-3092.00,Baseline,2.0,0.01,8661,
27-3092.00,Baseline,2.0,0.01,8658,
27-3092.00,Baseline,2.0,0.01,8660,
27-3092.00,Baseline,2.0,0.05,8653,
27-3092.00,Baseline,2.0,0.05,21183,
27-3092.00,Baseline,2.0,0.05,8663,
27-3092.00,Baseline,2.0,0.05,8655,
27-3092.00,Baseline,2.0,0.05,8659,
27-3092.00,Baseline,2.0,0.05,8656,2028.25
27-3092.00,Baseline,2.0,0.05,8654,
27-3092.00,Baseline,2.0,0.05,21185,
27-3092.00,Baseline,2.0,0.05,8657,2024.0
27-3092.00,Baseline,2.0,0.05,21184,
27-3092.00,Baseline,2.0,0.05,8662,
27-3092.00,Baseline,2.0,0.05,8661,
27-3092.00,Baseline,2.0,0.05,8658,
27-3092.00,Baseline,2.0,0.05,8660,
27-3092.00,Slow,0.5,0.01,8653,
27-3092.00,Slow,0.5,0.01,21183,
27-3092.00,Slow,0.5,0.01,8663,
27-3092.00,Slow,0.5,0.01,8655,
27-3092.00,Slow,0.5,0.01,8659,
27-3092.00,Slow,0.5,0.01,8656,
27-3092.00,Slow,0.5,0.01,8654,
27-3092.00,Slow,0.5,0.01,21185,
27-3092.00,Slow,0.5,0.01,8657,
27-3092.00,Slow,0.5,0.01,21184,
27-3092.00,Slow,0.5,0.01,8662,
27-3092.00,Slow,0.5,0.01,8661,
27-3092.00,Slow,0.5,0.01,8658,
27-3092.00,Slow,0.5,0.01,8660,
27-3092.00,Slow,0.5,0.05,8653,
27-3092.00,Slow,0.5,0.05,21183,
27-3092.00,Slow,0.5,0.05,8663,
27-3092.00,Slow,0.5,0.05,8655,
27-3092.00,Slow,0.5,0.05,8659,
27-3092.00,Slow,0.5,0.05,8656,
27-3092.00,Slow,0.5,0.05,8654,
27-3092.00,Slow,0.5,0.05,21185,
27-3092.00,Slow,0.5,0.05,8657,
27-3092.00,Slow,0.5,0.05,21184,
27-3092.00,Slow,0.5,0.05,8662,
27-3092.00,Slow,0.5,0.05,8661,
27-3092.00,Slow,0.5,0.05,8658,
27-3092.00,Slow,0.5,0.05,8660,2024.0
27-3092.00,Slow,1.0,0.01,8653,
27-3092.00,Slow,1.0,0.01,21183,
27-3092.00,Slow,1.0,0.01,8663,
27-3092.00,Slow,1.0,0.01,8655,
