soc,scenario,eta,t,task_id,p_ij
49-1011.00,Fast,2.0,2024.0,2914,0.047356937791246
49-1011.00,Fast,2.0,2024.0,2912,0.03654841447097673
49-1011.00,Fast,2.0,2024.0,15263,0.04650469756305302
49-1011.00,Fast,2.0,2024.0,2929,0.08171021538299714
49-1011.00,Fast,2.0,2024.0,15262,0.04496908692966085
49-1011.00,Fast,2.0,2024.0,2918,0.08011953503841965
49-1011.00,Fast,2.0,2024.0,2925,0.07978495343296486
49-1011.00,Fast,2.0,2024.0,2919,0.042334244224164194
49-1011.00,Fast,2.0,2024.0,2915,0.07464997642043401
49-1011.00,Fast,2.0,2024.0,2920,0.04077732758506719
49-1011.00,Fast,2.0,2024.0,2916,0.0405279684071885
49-1011.00,Fast,2.0,2024.0,2923,0.05317802919551005
49-1011.00,Fast,2.0,2024.0,2931,0.03799334283963677
49-1011.00,Fast,2.0,2024.0,2917,0.03780079967697095
49-1011.00,Fast,2.0,2024.0,2926,0.04679645741620748
49-1011.00,Fast,2.0,2024.0,2930,0.05768697256760914
49-1011.00,Fast,2.0,2024.0,2927,0.03178540406630879
49-1011.00,Fast,2.0,2024.0,15264,0.03143661686180758
49-1011.00,Fast,2.0,2024.0,2921,0.04077936835928675
49-1011.00,Fast,2.0,2024.0,2932,0.04725965177049031
49-1011.00,Fast,2.0,2024.25,2914,0.04712758121782612
49-1011.00,Fast,2.0,2024.25,2912,0.03614248570929312
49-1011.00,Fast,2.0,2024.25,15263,0.04627946851365782
49-1011.00,Fast,2.0,2024.25,2929,0.08214650359076407
49-1011.00,Fast,2.0,2024.25,15262,0.04475129506707309
49-1011.00,Fast,2.0,2024.25,2918,0.0805473298763746
49-1011.00,Fast,2.0,2024.25,2925,0.08021096178671691
49-1011.00,Fast,2.0,2024.25,2919,0.042129213290019424
49-1011.00,Fast,2.0,2024.25,2915,0.07504856678358085
49-1011.00,Fast,2.0,2024.25,2920,0.040579837025830484
49-1011.00,Fast,2.0,2024.25,2916,0.040331685530907165
49-1011.00,Fast,2.0,2024.25,2923,0.05321631875965757
49-1011.00,Fast,2.0,2024.25,2931,0.03780933552554737
49-1011.00,Fast,2.0,2024.25,2917,0.037617724877568606
49-1011.00,Fast,2.0,2024.25,2926,0.046830152082693276
49-1011.00,Fast,2.0,2024.25,2930,0.05799498969563962
49-1011.00,Fast,2.0,2024.25,2927,0.03163146270731402
49-1011.00,Fast,2.0,2024.25,15264,0.03128436473023773
49-1011.00,Fast,2.0,2024.25,2921,0.0408087305651509
49-1011.00,Fast,2.0,2024.25,2932,0.04751199266414713
49-1011.00,Fast,2.0,2024.5,2914,0.04690043555149507
49-1011.00,Fast,2.0,2024.5,2912,0.03574046994109116
49-1011.00,Fast,2.0,2024.5,15263,0.04605641058364453
49-1011.00,Fast,2.0,2024.5,2929,0.08257858615193914
49-1011.00,Fast,2.0,2024.5,15262,0.04453560263231383
49-1011.00,Fast,2.0,2024.5,2918,0.08097100094047953
49-1011.00,Fast,2.0,2024.5,2925,0.08063286358762349
49-1011.00,Fast,2.0,2024.5,2919,0.041926158773375896
49-1011.00,Fast,2.0,2024.5,2915,0.0754433148925194
49-1011.00,Fast,2.0,2024.5,2920,0.04038425019784893
49-1011.00,Fast,2.0,2024.5,2916,0.04013729474429266
49-1011.00,Fast,2.0,2024.5,2923,0.053254239227478184
49-1011.00,Fast,2.0,2024.5,2931,0.037627101969537155
49-1011.00,Fast,2.0,2024.5,2917,0.03743641484717092
49-1011.00,Fast,2.0,2024.5,2926,0.04686352194585699
49-1011.00,Fast,2.0,2024.5,2930,0.05830003765979706
49-1011.00,Fast,2.0,2024.5,2927,0.03147900528242584
49-1011.00,Fast,2.0,2024.5,15264,0.031133580249287
49-1011.00,Fast,2.0,2024.5,2921,0.040837809730908024
49-1011.00,Fast,2.0,2024.5,2932,0.04776190109091509
49-1011.00,Fast,2.0,2024.75,2914,0.046675468977184095
49-1011.00,Fast,2.0,2024.75,2912,0.035342310858189785
49-1011.00,Fast,2.0,2024.75,15263,0.04583549253049157
49-1011.00,Fast,2.0,2024.75,2929,0.08300652358599701
49-1011.00,Fast,2.0,2024.75,15262,0.0443219794145067
49-1011.00,Fast,2.0,2024.75,2918,0.08139060757205603
49-1011.00,Fast,2.0,2024.75,2925,0.08105071792919501
49-1011.00,Fast,2.0,2024.75,2919,0.04172505223348229
49-1011.00,Fast,2.0,2024.75,2915,0.0758342760374889
49-1011.00,Fast,2.0,2024.75,2920,0.0401905397063301
49-1011.00,Fast,2.0,2024.75,2916,0.039944768820075624
49-1011.00,Fast,2.0,2024.75,2923,0.05329179591028736
49-1011.00,Fast,2.0,2024.75,2931,0.0374466166471345
49-1011.00,Fast,2.0,2024.75,2917,0.03725684419065953
49-1011.00,Fast,2.0,2024.75,2926,0.04689657167963543
49-1011.00,Fast,2.0,2024.75,2930,0.05860215918650504
49-1011.00,Fast,2.0,2024.75,2927,0.031328010437754746
49-1011.00,Fast,2.0,2024.75,15264,0.030984242299386136
49-1011.00,Fast,2.0,2024.75,2921,0.04086660992952008
49-1011.00,Fast,2.0,2024.75,2932,0.04800941205412007
49-1011.00,Fast,2.0,2025.0,2914,0.04645265028733772
49-1011.00,Fast,2.0,2025.0,2912,0.034947953227620725
49-1011.00,Fast,2.0,2025.0,15263,0.04561668370825778
49-1011.00,Fast,2.0,2025.0,2929,0.08343037525678426
49-1011.00,Fast,2.0,2025.0,15262,0.04411039577965632
49-1011.00,Fast,2.0,2025.0,2918,0.08180620797929468
49-1011.00,Fast,2.0,2025.0,2925,0.08146458277654285
49-1011.00,Fast,2.0,2025.0,2919,0.041525865772667495
49-1011.00,Fast,2.0,2025.0,2915,0.0762215044529535
49-1011.00,Fast,2.0,2025.0,2920,0.039998678679589034
49-1011.00,Fast,2.0,2025.0,2916,0.03975408105089528
49-1011.00,Fast,2.0,2025.0,2923,0.05332899401798023
49-1011.00,Fast,2.0,2025.0,2931,0.03726785452126122
49-1011.00,Fast,2.0,2025.0,2917,0.03707898799783945
49-1011.00,Fast,2.0,2025.0,2926,0.0469293058687159
49-1011.00,Fast,2.0,2025.0,2930,0.05890139618631997
49-1011.00,Fast,2.0,2025.0,2927,0.03117845722716684
49-1011.00,Fast,2.0,2025.0,15264,0.030836330164247083
49-1011.00,Fast,2.0,2025.0,2921,0.040895135156175225
49-1011.00,Fast,2.0,2025.0,2932,0.048254559888694426
49-1011.00,Fast,2.0,2025.25,2914,0.04612238272548923
49-1011.00,Fast,2.0,2025.25,2912,0.034363426259823755
49-1011.00,Fast,2.0,2025.25,15263,0.04529235967475808
49-1011.00,Fast,2.0,2025.25,2929,0.08405861904545758
49-1011.00,Fast,2.0,2025.25,15262,0.04379678110371844
49-1011.00,Fast,2.0,2025.25,2918,0.08242222153406689
49-1011.00,Fast,2.0,2025.25,2925,0.08207802384004888
49-1011.00,Fast,2.0,2025.25,2919,0.04123062650520798
49-1011.00,Fast,2.0,2025.25,2915,0.07679546431575553
49-1011.00,Fast,2.0,2025.25,2920,0.03971429735790005
49-1011.00,Fast,2.0,2025.25,2916,0.039471438761575016
49-1011.00,Fast,2.0,2025.25,2923,0.05338413000473956
49-1011.00,Fast,2.0,2025.25,2931,0.03700288872551164
49-1011.00,Fast,2.0,2025.25,2917,0.036815364999235344
49-1011.00,Fast,2.0,2025.25,2926,0.04697782532111978
49-1011.00,Fast,2.0,2025.25,2930,0.059344932922003456
49-1011.00,Fast,2.0,2025.25,2927,0.03095678563282466
49-1011.00,Fast,2.0,2025.25,15264,0.030617091013914317
49-1011.00,Fast,2.0,2025.25,2921,0.04093741597680596
49-1011.00,Fast,2.0,2025.25,2932,0.04861792428004387
49-1011.00,Fast,2.0,2025.5,2914,0.045796778261515944
49-1011.00,Fast,2.0,2025.5,2912,0.033787152317078
49-1011.00,Fast,2.0,2025.5,15263,0.044972614821553986
49-1011.00,Fast,2.0,2025.5,2929,0.08467799256464494
49-1011.00,Fast,2.0,2025.5,15262,0.043487594401029936
49-1011.00,Fast,2.0,2025.5,2918,0.0830295374998834
49-1011.00,Fast,2.0,2025.5,2925,0.08268280363599416
49-1011.00,Fast,2.0,2025.5,2919,0.0409395557658142
49-1011.00,Fast,2.0,2025.5,2915,0.07736132035206696
49-1011.00,Fast,2.0,2025.5,2920,0.039433931259291094
49-1011.00,Fast,2.0,2025.5,2916,0.0391927871416726
49-1011.00,Fast,2.0,2025.5,2923,0.05343848751812638
49-1011.00,Fast,2.0,2025.5,2931,0.036741664022082024
49-1011.00,Fast,2.0,2025.5,2917,0.03655546413379432
49-1011.00,Fast,2.0,2025.5,2926,0.0470256597200048
49-1011.00,Fast,2.0,2025.5,2930,0.05978220729514015
49-1011.00,Fast,2.0,2025.5,2927,0.03073824385339614
49-1011.00,Fast,2.0,2025.5,15264,0.03040094733444874
49-1011.00,Fast,2.0,2025.5,2921,0.04097909982810753
49-1011.00,Fast,2.0,2025.5,2932,0.048976158274354795
49-1011.00,Fast,2.0,2025.75,2914,0.04547573882924261
49-1011.00,Fast,2.0,2025.75,2912,0.03321895783609509
49-1011.00,Fast,2.0,2025.75,15263,0.044657352847279
49-1011.00,Fast,2.0,2025.75,2929,0.0852886823584475
49-1011.00,Fast,2.0,2025.75,15262,0.04318274255014828
49-1011.00,Fast,2.0,2025.75,2918,0.08362833878932842
49-1011.00,Fast,2.0,2025.75,2925,0.08327910431311443
49-1011.00,Fast,2.0,2025.75,2919,0.040652565889244124
49-1011.00,Fast,2.0,2025.75,2915,0.07791924298749117
49-1011.00,Fast,2.0,2025.75,2920,0.039157495942564305
49-1011.00,Fast,2.0,2025.75,2916,0.03891804226636014
49-1011.00,Fast,2.0,2025.75,2923,0.05349208292964054
49-1011.00,Fast,2.0,2025.75,2931,0.036484101734816525
49-1011.00,Fast,2.0,2025.75,2917,0.036299207124076596
49-1011.00,Fast,2.0,2025.75,2926,0.0470728234722267
49-1011.00,Fast,2.0,2025.75,2930,0.06021335100486213
49-1011.00,Fast,2.0,2025.75,2927,0.030522766068050128
49-1011.00,Fast,2.0,2025.75,15264,0.030187834027283537
49-1011.00,Fast,2.0,2025.75,2921,0.041020199264501976
49-1011.00,Fast,2.0,2025.75,2932,0.0493293697652268
49-1011.00,Fast,2.0,2026.0,2914,0.04515916909316169
49-1011.00,Fast,2.0,2026.0,2912,0.032658674086483166
49-1011.00,Fast,2.0,2026.0,15263,0.04434648013209302
49-1011.00,Fast,2.0,2026.0,2929,0.08589086977661732
49-1011.00,Fast,2.0,2026.0,15262,0.042882135022611866
49-1011.00,Fast,2.0,2026.0,2918,0.08421880322175719
49-1011.00,Fast,2.0,2026.0,2925,0.08386710294818589
49-1011.00,Fast,2.0,2026.0,2919,0.04036957165130786
49-1011.00,Fast,2.0,2026.0,2915,0.07846939790210437
49-1011.00,Fast,2.0,2026.0,2920,0.03888490931779999
49-1011.00,Fast,2.0,2026.0,2916,0.03864712254770952
49-1011.00,Fast,2.0,2026.0,2923,0.05354493215491496
49-1011.00,Fast,2.0,2026.0,2931,0.03623012537830897
49-1011.00,Fast,2.0,2026.0,2917,0.03604651787228975
49-1011.00,Fast,2.0,2026.0,2926,0.04711933058348014
49-1011.00,Fast,2.0,2026.0,2930,0.060638492083118924
49-1011.00,Fast,2.0,2026.0,2927,0.03031028828874666
49-1011.00,Fast,2.0,2026.0,15264,0.02997768780653151
49-1011.00,Fast,2.0,2026.0,2921,0.04106072649083158
49-1011.00,Fast,2.0,2026.0,2932,0.04967766364194567
49-1011.00,Fast,2.0,2026.25,2914,0.04501988181143641
49-1011.00,Fast,2.0,2026.25,2912,0.03241215525797979
49-1011.00,Fast,2.0,2026.25,15263,0.04420969947833606
49-1011.00,Fast,2.0,2026.25,2929,0.08615582576895067
49-1011.00,Fast,2.0,2026.25,15262,0.042749870941101546
49-1011.00,Fast,2.0,2026.25,2918,0.08447860122635048
49-1011.00,Fast,2.0,2026.25,2925,0.08412581602844171
49-1011.00,Fast,2.0,2026.25,2919,0.04024505722793296
49-1011.00,Fast,2.0,2026.25,2915,0.07871146015206208
49-1011.00,Fast,2.0,2026.25,2920,0.03876497413237093
49-1011.00,Fast,2.0,2026.25,2916,0.038527920783056384
49-1011.00,Fast,2.0,2026.25,2923,0.05356818524606916
49-1011.00,Fast,2.0,2026.25,2931,0.036118378510909786
49-1011.00,Fast,2.0,2026.25,2917,0.03593533731713526
49-1011.00,Fast,2.0,2026.25,2926,0.04713979321262333
49-1011.00,Fast,2.0,2026.25,2930,0.060825549588593784
49-1011.00,Fast,2.0,2026.25,2927,0.030216800349335292
49-1011.00,Fast,2.0,2026.25,15264,0.0298852257278257
49-1011.00,Fast,2.0,2026.25,2921,0.04107855803487364
