soc,scenario,eta,eps,task_id,t_star
17-2199.08,Fast,2.0,0.05,16511,
17-2199.08,Fast,2.0,0.05,16521,2024.0
17-2199.08,Fast,2.0,0.05,16512,2024.0
17-2199.08,Fast,2.0,0.05,16516,2024.0
17-2199.08,Fast,2.0,0.05,21057,2024.0
17-2199.08,Fast,2.0,0.05,16520,
17-2199.08,Fast,2.0,0.05,21058,
17-2199.08,Fast,2.0,0.05,16528,2024.0
17-2199.08,Fast,2.0,0.05,16523,2024.0
17-2199.08,Fast,2.0,0.05,16514,2024.0
17-2199.08,Fast,2.0,0.05,16510,
17-2199.08,Fast,2.0,0.05,16515,2024.0
17-2199.08,Fast,2.0,0.05,16530,2024.0
17-2199.08,Fast,2.0,0.05,16518,2024.0
17-2199.08,Fast,2.0,0.05,16519,
17-2199.08,Fast,2.0,0.05,16525,
17-2199.08,Fast,2.0,0.05,16522,
17-2199.08,Fast,2.0,0.05,16513,2024.0
