soc,scenario,eta,t,task_id,p_ij
49-1011.00,Slow,8.0,2024.0,2914,0.010238907202580753
49-1011.00,Slow,8.0,2024.0,2912,0.004839856751662822
49-1011.00,Slow,8.0,2024.0,15263,0.010054646796022387
49-1011.00,Slow,8.0,2024.0,2929,0.16024313667228843
49-1011.00,Slow,8.0,2024.0,15262,0.009722636841242221
49-1011.00,Slow,8.0,2024.0,2918,0.15712362943976813
49-1011.00,Slow,8.0,2024.0,2925,0.15646747640333783
49-1011.00,Slow,8.0,2024.0,2919,0.009152965084299273
49-1011.00,Slow,8.0,2024.0,2915,0.14639719547981864
49-1011.00,Slow,8.0,2024.0,2920,0.008816348619355147
49-1011.00,Slow,8.0,2024.0,2916,0.00876243538928807
49-1011.00,Slow,8.0,2024.0,2923,0.03109821580173828
49-1011.00,Slow,8.0,2024.0,2931,0.008214431291264484
49-1011.00,Slow,8.0,2024.0,2917,0.008172802088301298
49-1011.00,Slow,8.0,2024.0,2926,0.027366308106975677
49-1011.00,Slow,8.0,2024.0,2930,0.11313079259469794
49-1011.00,Slow,8.0,2024.0,2927,0.0068722307186768325
49-1011.00,Slow,8.0,2024.0,15264,0.006796820441177945
49-1011.00,Slow,8.0,2024.0,2921,0.023847547881724652
49-1011.00,Slow,8.0,2024.0,2932,0.09268161639577921
49-1011.00,Slow,8.0,2024.25,2914,0.010046617488516462
49-1011.00,Slow,8.0,2024.25,2912,0.004630823594448502
49-1011.00,Slow,8.0,2024.25,15263,0.009865817547043819
49-1011.00,Slow,8.0,2024.25,2929,0.1606395353515431
49-1011.00,Slow,8.0,2024.25,15262,0.009540042837686629
49-1011.00,Slow,8.0,2024.25,2918,0.15751231129212726
49-1011.00,Slow,8.0,2024.25,2925,0.15685453510850683
49-1011.00,Slow,8.0,2024.25,2919,0.008981069685300372
49-1011.00,Slow,8.0,2024.25,2915,0.1467593430022643
49-1011.00,Slow,8.0,2024.25,2920,0.008650774977406364
49-1011.00,Slow,8.0,2024.25,2916,0.008597874253790296
49-1011.00,Slow,8.0,2024.25,2923,0.031021078829898335
49-1011.00,Slow,8.0,2024.25,2931,0.008060161835262395
49-1011.00,Slow,8.0,2024.25,2917,0.008019314441077835
49-1011.00,Slow,8.0,2024.25,2926,0.027298427873869408
49-1011.00,Slow,8.0,2024.25,2930,0.11341064793015161
49-1011.00,Slow,8.0,2024.25,2927,0.006743168187516757
49-1011.00,Slow,8.0,2024.25,15264,0.0066691741373955445
49-1011.00,Slow,8.0,2024.25,2921,0.023788395689806893
49-1011.00,Slow,8.0,2024.25,2932,0.09291088593638741
49-1011.00,Slow,8.0,2024.5,2914,0.00986141714960833
49-1011.00,Slow,8.0,2024.5,2912,0.004429497112959296
49-1011.00,Slow,8.0,2024.5,15263,0.009683950092111171
49-1011.00,Slow,8.0,2024.5,2929,0.16102131952600054
49-1011.00,Slow,8.0,2024.5,15262,0.009364180745917218
49-1011.00,Slow,8.0,2024.5,2918,0.1578866631451873
49-1011.00,Slow,8.0,2024.5,2925,0.15722732365688788
49-1011.00,Slow,8.0,2024.5,2919,0.008815511759821834
49-1011.00,Slow,8.0,2024.5,2915,0.1471081387983267
49-1011.00,Slow,8.0,2024.5,2920,0.00849130573719045
49-1011.00,Slow,8.0,2024.5,2916,0.008439380190737578
49-1011.00,Slow,8.0,2024.5,2923,0.030946785759171067
49-1011.00,Slow,8.0,2024.5,2931,0.007911580016033065
49-1011.00,Slow,8.0,2024.5,2917,0.00787148560674667
49-1011.00,Slow,8.0,2024.5,2926,0.027233050262603937
49-1011.00,Slow,8.0,2024.5,2930,0.11368018550382514
49-1011.00,Slow,8.0,2024.5,2927,0.00661886395924589
49-1011.00,Slow,8.0,2024.5,15264,0.006546233922751682
49-1011.00,Slow,8.0,2024.5,2921,0.023731424332583566
49-1011.00,Slow,8.0,2024.5,2932,0.09313170272229077
49-1011.00,Slow,8.0,2024.75,2914,0.009682921223564109
49-1011.00,Slow,8.0,2024.75,2912,0.004235458824679128
49-1011.00,Slow,8.0,2024.75,15263,0.00950866639675243
49-1011.00,Slow,8.0,2024.75,2929,0.16138928278228065
49-1011.00,Slow,8.0,2024.75,15262,0.009194685014367685
49-1011.00,Slow,8.0,2024.75,2918,0.15824746313654944
49-1011.00,Slow,8.0,2024.75,2925,0.15758661693655607
49-1011.00,Slow,8.0,2024.75,2919,0.008655947174808247
49-1011.00,Slow,8.0,2024.75,2915,0.14744430788411536
49-1011.00,Slow,8.0,2024.75,2920,0.008337609421753208
49-1011.00,Slow,8.0,2024.75,2916,0.008286623750204607
49-1011.00,Slow,8.0,2024.75,2923,0.030875182162026945
49-1011.00,Slow,8.0,2024.75,2931,0.0077683769875017275
49-1011.00,Slow,8.0,2024.75,2917,0.007729008304407237
49-1011.00,Slow,8.0,2024.75,2926,0.02717003937755811
49-1011.00,Slow,8.0,2024.75,2930,0.11393996558360371
49-1011.00,Slow,8.0,2024.75,2927,0.006499059651828142
49-1011.00,Slow,8.0,2024.75,15264,0.006427744250484844
49-1011.00,Slow,8.0,2024.75,2921,0.02367651538789412
49-1011.00,Slow,8.0,2024.75,2932,0.09334452574906438
49-1011.00,Slow,8.0,2025.0,2914,0.009510772124504203
49-1011.00,Slow,8.0,2025.0,2912,0.004048320007279558
49-1011.00,Slow,8.0,2025.0,15263,0.009339615310239552
49-1011.00,Slow,8.0,2025.0,2929,0.16174416227146332
49-1011.00,Slow,8.0,2025.0,15262,0.009031216087499726
49-1011.00,Slow,8.0,2025.0,2918,0.15859543406692475
49-1011.00,Slow,8.0,2025.0,2925,0.15793313472978474
49-1011.00,Slow,8.0,2025.0,2919,0.008502056270064845
49-1011.00,Slow,8.0,2025.0,2915,0.14776852371655944
49-1011.00,Slow,8.0,2025.0,2920,0.008189378126968402
49-1011.00,Slow,8.0,2025.0,2916,0.008139298910942819
49-1011.00,Slow,8.0,2025.0,2923,0.03080612459297769
49-1011.00,Slow,8.0,2025.0,2931,0.0076302658670372074
49-1011.00,Slow,8.0,2025.0,2917,0.007591597105295935
49-1011.00,Slow,8.0,2025.0,2926,0.027109268987264047
49-1011.00,Slow,8.0,2025.0,2930,0.11419050859418484
49-1011.00,Slow,8.0,2025.0,2927,0.006383515257944602
49-1011.00,Slow,8.0,2025.0,15264,0.006313467746921475
49-1011.00,Slow,8.0,2025.0,2921,0.023623558855114333
49-1011.00,Slow,8.0,2025.0,2932,0.09354978137102855
