occupation_label,onet_soc_code,working_with_computers_raw,working_with_computers_raw_0_100,working_with_computers_norm_all,working_with_computers_norm_group,e_mail_raw,e_mail_raw_0_100,e_mail_norm_all,e_mail_norm_group,using_hands_raw,using_hands_raw_0_100,using_hands_norm_all,using_hands_norm_group,kneeling_raw,kneeling_raw_0_100,kneeling_norm_all,kneeling_norm_group,originality_raw,originality_raw_0_100,originality_norm_all,originality_norm_group,thinking_creatively_raw,thinking_creatively_raw_0_100,thinking_creatively_norm_all,thinking_creatively_norm_group,digit_equal_all,digit_weighted_all,iprisk_equal_all,iprisk_weighted_all,physical_equal_all,physical_weighted_all,digit_equal_group,digit_weighted_group,iprisk_equal_group,iprisk_weighted_group,physical_equal_group,physical_weighted_group
Software Developer / Software Engineer,15-1252.00,4.61,90.25000000000001,0.9060913705583756,0.9083969465648857,74.94,74.94,0.7494,0.7494,52.03,52.03,0.5203,0.5265128516494637,0.0,0.0,0.0,0.0,3.12,53.0,0.58,0.49600000000000005,4.33,83.25,0.8230337078651685,0.8253521126760563,0.3176818950930626,0.4790668279983072,0.7015168539325842,0.7185647554121594,0.19999,0.19998999998917996,0.3180661577608143,0.45480390208249677,0.6606760563380282,0.6877681773544804,0.201183970856102,0.20118397316854056
Electrician,47-2111.00,2.36,34.0,0.33502538071065985,0.33587786259541985,47.33,47.33,0.4733,0.4733,96.42,96.42,0.9642000000000001,0.9757134183363693,28.44,28.439999999999998,0.2844,0.2844,2.88,47.0,0.5,0.4000000000000001,3.74,68.5,0.6573033707865169,0.6591549295774648,0.22252089678510997,0.2533778583857128,0.5786516853932584,0.5896859258331129,0.2,0.2,0.22266297709923663,0.2488868305047951,0.5295774647887325,0.550895247319639,0.20119409026512852,0.20119409259733154
Illustrator / Graphic Designer,27-1013.00,3.46,61.5,0.6142131979695431,0.6157760814249363,44.97,44.97,0.4497,0.4497,84.29,84.29,0.8429000000000001,0.8529649868447684,0.0,0.0,0.0,0.0,4.38,84.5,1.0,1.0,4.8,95.0,0.9550561797752809,0.9577464788732394,0.26903553299492383,0.36370850585666326,0.9775280898876404,0.9743754497619677,0.2,0.20000000000000004,0.2692960135708227,0.3495508534492815,0.9788732394366197,0.9753975140239719,0.20119409026512852,0.2011940925973315
