soc,scenario,eta,t,task_id,p_ij
27-3092.00,Slow,0.5,2024.0,8653,0.09000243615543597
27-3092.00,Slow,0.5,2024.0,21183,0.08004915170401515
27-3092.00,Slow,0.5,2024.0,8663,0.08004176522204749
27-3092.00,Slow,0.5,2024.0,8655,0.0891759614845071
27-3092.00,Slow,0.5,2024.0,8659,0.08486698840337481
27-3092.00,Slow,0.5,2024.0,8656,0.06963421212961561
27-3092.00,Slow,0.5,2024.0,8654,0.07408565935097162
27-3092.00,Slow,0.5,2024.0,21185,0.07156432921921363
27-3092.00,Slow,0.5,2024.0,8657,0.061444450247973424
27-3092.00,Slow,0.5,2024.0,21184,0.06889333108876677
27-3092.00,Slow,0.5,2024.0,8662,0.06691624976755058
27-3092.00,Slow,0.5,2024.0,8661,0.05891372012724223
27-3092.00,Slow,0.5,2024.0,8658,0.05852018748733314
27-3092.00,Slow,0.5,2024.0,8660,0.045891557611952426
27-3092.00,Slow,0.5,2024.25,8653,0.08982168230020399
27-3092.00,Slow,0.5,2024.25,21183,0.0798883872470002
27-3092.00,Slow,0.5,2024.25,8663,0.07988101559946537
27-3092.00,Slow,0.5,2024.25,8655,0.08927202157514416
27-3092.00,Slow,0.5,2024.25,8659,0.08495840688053402
27-3092.00,Slow,0.5,2024.25,8656,0.06949436422286859
27-3092.00,Slow,0.5,2024.25,8654,0.07416546421131391
27-3092.00,Slow,0.5,2024.25,21185,0.07164141810994985
27-3092.00,Slow,0.5,2024.25,8657,0.061321050018609075
27-3092.00,Slow,0.5,2024.25,21184,0.06896754278795687
27-3092.00,Slow,0.5,2024.25,8662,0.06708724809645143
27-3092.00,Slow,0.5,2024.25,8661,0.058977181818049715
27-3092.00,Slow,0.5,2024.25,8658,0.05858322526590654
27-3092.00,Slow,0.5,2024.25,8660,0.045940991866546314
27-3092.00,Slow,0.5,2024.5,8653,0.08964053860997116
27-3092.00,Slow,0.5,2024.5,21183,0.07972727606646916
27-3092.00,Slow,0.5,2024.5,8663,0.07971991928536082
27-3092.00,Slow,0.5,2024.5,8655,0.08936828884025871
27-3092.00,Slow,0.5,2024.5,8659,0.08505002252152176
27-3092.00,Slow,0.5,2024.5,8656,0.06935421470369524
27-3092.00,Slow,0.5,2024.5,8654,0.07424544118819422
27-3092.00,Slow,0.5,2024.5,21185,0.07171867325964497
27-3092.00,Slow,0.5,2024.5,8657,0.06119738364981187
27-3092.00,Slow,0.5,2024.5,21184,0.0690419145408165
27-3092.00,Slow,0.5,2024.5,8662,0.06725861522043884
27-3092.00,Slow,0.5,2024.5,8661,0.05904078037779564
27-3092.00,Slow,0.5,2024.5,8658,0.05864639899915947
27-3092.00,Slow,0.5,2024.5,8660,0.04599053273686165
27-3092.00,Slow,0.5,2024.75,8653,0.08945900382223014
27-3092.00,Slow,0.5,2024.75,21183,0.07956581703953415
27-3092.00,Slow,0.5,2024.75,8663,0.07955847515694958
27-3092.00,Slow,0.5,2024.75,8655,0.0894647639507995
27-3092.00,Slow,0.5,2024.75,8659,0.08514183596486659
27-3092.00,Slow,0.5,2024.75,8656,0.06921376259530307
27-3092.00,Slow,0.5,2024.75,8654,0.07432559083902376
27-3092.00,Slow,0.5,2024.75,21185,0.07179609520673998
27-3092.00,Slow,0.5,2024.75,8657,0.06107345027967102
27-3092.00,Slow,0.5,2024.75,21184,0.06911644686569048
27-3092.00,Slow,0.5,2024.75,8662,0.067430352333881
