soc,scenario,eta,t,task_id,p_ij
27-3092.00,Slow,8.0,2024.0,8653,0.040943222169358716
27-3092.00,Slow,8.0,2024.0,21183,0.03641534988037365
27-3092.00,Slow,8.0,2024.0,8663,0.0364119896783039
27-3092.00,Slow,8.0,2024.0,8655,0.09505404055710763
27-3092.00,Slow,8.0,2024.0,8659,0.09046103931332969
27-3092.00,Slow,8.0,2024.0,8656,0.031677464962029334
27-3092.00,Slow,8.0,2024.0,8654,0.07896905344688407
27-3092.00,Slow,8.0,2024.0,21185,0.07628152855102276
27-3092.00,Slow,8.0,2024.0,8657,0.027951840917196533
27-3092.00,Slow,8.0,2024.0,21184,0.07343447021385459
27-3092.00,Slow,8.0,2024.0,8662,0.2383088535798361
27-3092.00,Slow,8.0,2024.0,8661,0.06279704809594769
27-3092.00,Slow,8.0,2024.0,8658,0.06237757555097307
27-3092.00,Slow,8.0,2024.0,8660,0.048916523083782235
27-3092.00,Slow,8.0,2024.25,8653,0.03948383713169929
27-3092.00,Slow,8.0,2024.25,21183,0.035117356856358
27-3092.00,Slow,8.0,2024.25,8663,0.03511411642572695
27-3092.00,Slow,8.0,2024.25,8655,0.0953083320324457
27-3092.00,Slow,8.0,2024.25,8659,0.09070304345132087
27-3092.00,Slow,8.0,2024.25,8656,0.030548349666576016
27-3092.00,Slow,8.0,2024.25,8654,0.07918031387294659
27-3092.00,Slow,8.0,2024.25,21185,0.0764855992283195
27-3092.00,Slow,8.0,2024.25,8657,0.026955522204398164
27-3092.00,Slow,8.0,2024.25,21184,0.07363092435364606
27-3092.00,Slow,8.0,2024.25,8662,0.2429157240877244
27-3092.00,Slow,8.0,2024.25,8661,0.06296504467887674
27-3092.00,Slow,8.0,2024.25,8658,0.06254444994812548
27-3092.00,Slow,8.0,2024.25,8660,0.04904738606183639
27-3092.00,Slow,8.0,2024.5,8653,0.03801662276584211
27-3092.00,Slow,8.0,2024.5,21183,0.033812400342159044
27-3092.00,Slow,8.0,2024.5,8663,0.033809280325518096
27-3092.00,Slow,8.0,2024.5,8655,0.09556398773406187
27-3092.00,Slow,8.0,2024.5,8659,0.09094634589631986
27-3092.00,Slow,8.0,2024.5,8656,0.029413176878416464
27-3092.00,Slow,8.0,2024.5,8654,0.0793927076717436
27-3092.00,Slow,8.0,2024.5,21185,0.07669076470669126
27-3092.00,Slow,8.0,2024.5,8657,0.025953858427760733
27-3092.00,Slow,8.0,2024.5,21184,0.07382843243321113
27-3092.00,Slow,8.0,2024.5,8662,0.24754730959558863
27-3092.00,Slow,8.0,2024.5,8661,0.06313394253210108
27-3092.00,Slow,8.0,2024.5,8658,0.06271221959525605
27-3092.00,Slow,8.0,2024.5,8660,0.049178951095330097
27-3092.00,Slow,8.0,2024.75,8653,0.03654151589800383
27-3092.00,Slow,8.0,2024.75,21183,0.0325004241503225
27-3092.00,Slow,8.0,2024.75,8663,0.03249742519540771
27-3092.00,Slow,8.0,2024.75,8655,0.09582101866971232
27-3092.00,Slow,8.0,2024.75,8659,0.0911909571241892
27-3092.00,Slow,8.0,2024.75,8656,0.0282718977204667
27-3092.00,Slow,8.0,2024.75,8654,0.07960624398830542
27-3092.00,Slow,8.0,2024.75,21185,0.07689703381993884
27-3092.00,Slow,8.0,2024.75,8657,0.0249468064586918
27-3092.00,Slow,8.0,2024.75,21184,0.0740270029566464
27-3092.00,Slow,8.0,2024.75,8662,0.2522038095253991
27-3092.00,Slow,8.0,2024.75,8661,0.06330374892784804
27-3092.00,Slow,8.0,2024.75,8658,0.06288089171601498
27-3092.00,Slow,8.0,2024.75,8660,0.04931122384905315
27-3092.00,Slow,8.0,2025.0,8653,0.03505845267291397
27-3092.00,Slow,8.0,2025.0,21183,0.031181371487271955
27-3092.00,Slow,8.0,2025.0,8663,0.031178494247059978
27-3092.00,Slow,8.0,2025.0,8655,0.0960794359658993
27-3092.00,Slow,8.0,2025.0,8659,0.09143688772379976
27-3092.00,Slow,8.0,2025.0,8656,0.027124462788381234
27-3092.00,Slow,8.0,2025.0,8654,0.07982093206631435
27-3092.00,Slow,8.0,2025.0,21185,0.07710441549715774
27-3092.00,Slow,8.0,2025.0,8657,0.023934322703349255
27-3092.00,Slow,8.0,2025.0,21184,0.07422664451978633
27-3092.00,Slow,8.0,2025.0,8662,0.25688542545039017
27-3092.00,Slow,8.0,2025.0,8661,0.06347447121679407
27-3092.00,Slow,8.0,2025.0,8658,0.0630504736119776
27-3092.00,Slow,8.0,2025.0,8660,0.04944421004890422
27-3092.00,Slow,8.0,2025.25,8653,0.034686436137149515
27-3092.00,Slow,8.0,2025.25,21183,0.030850495909011146
27-3092.00,Slow,8.0,2025.25,8663,0.030847649200121993
27-3092.00,Slow,8.0,2025.25,8655,0.09614425822410294
27-3092.00,Slow,8.0,2025.25,8659,0.09149857777730375
27-3092.00,Slow,8.0,2025.25,8656,0.0268366363753005
27-3092.00,Slow,8.0,2025.25,8654,0.07987478514128758
27-3092.00,Slow,8.0,2025.25,21185,0.07715643581013888
27-3092.00,Slow,8.0,2025.25,8657,0.02368034789444824
27-3092.00,Slow,8.0,2025.25,21184,0.07427672327668453
27-3092.00,Slow,8.0,2025.25,8662,0.25805977763493
27-3092.00,Slow,8.0,2025.25,8661,0.06351729576630553
27-3092.00,Slow,8.0,2025.25,8658,0.06309301210150191
27-3092.00,Slow,8.0,2025.25,8660,0.04947756875171345
27-3092.00,Slow,8.0,2025.5,8653,0.03431391728301901
27-3092.00,Slow,8.0,2025.5,21183,0.0305191735632982
27-3092.00,Slow,8.0,2025.5,8663,0.030516357426957037
27-3092.00,Slow,8.0,2025.5,8655,0.09620916800909018
27-3092.00,Slow,8.0,2025.5,8659,0.09156035112830636
27-3092.00,Slow,8.0,2025.5,8656,0.026548421322254538
27-3092.00,Slow,8.0,2025.5,8654,0.07992871093181518
27-3092.00,Slow,8.0,2025.5,21185,0.07720852636397252
27-3092.00,Slow,8.0,2025.5,8657,0.023426030153987046
27-3092.00,Slow,8.0,2025.5,21184,0.07432686965283325
27-3092.00,Slow,8.0,2025.5,8662,0.25923571549809904
27-3092.00,Slow,8.0,2025.5,8661,0.06356017814001476
27-3092.00,Slow,8.0,2025.5,8658,0.06313560802896916
27-3092.00,Slow,8.0,2025.5,8660,0.04951097249738362
27-3092.00,Slow,8.0,2025.75,8653,0.03394089509244591
27-3092.00,Slow,8.0,2025.75,21183,0.030187403544644692
27-3092.00,Slow,8.0,2025.75,8663,0.030184618022160246
27-3092.00,Slow,8.0,2025.75,8655,0.09627416549825646
27-3092.00,Slow,8.0,2025.75,8659,0.09162220794563129
27-3092.00,Slow,8.0,2025.75,8656,0.02625981684156513
27-3092.00,Slow,8.0,2025.75,8654,0.0799827095852738
27-3092.00,Slow,8.0,2025.75,21185,0.07726068730101973
27-3092.00,Slow,8.0,2025.75,8657,0.02317136878692721
27-3092.00,Slow,8.0,2025.75,21184,0.07437708378528024
27-3092.00,Slow,8.0,2025.75,8662,0.26041324225368045
27-3092.00,Slow,8.0,2025.75,8661,0.06360311845511728
27-3092.00,Slow,8.0,2025.75,8658,0.06317826151079203
27-3092.00,Slow,8.0,2025.75,8660,0.04954442137720562
27-3092.00,Slow,8.0,2026.0,8653,0.0335673685446006
27-3092.00,Slow,8.0,2026.0,21183,0.029855184945113595
27-3092.00,Slow,8.0,2026.0,8663,0.029852430077878356
27-3092.00,Slow,8.0,2026.0,8655,0.09633925086947681
27-3092.00,Slow,8.0,2026.0,8659,0.09168414839855869
27-3092.00,Slow,8.0,2026.0,8656,0.025970822143424034
27-3092.00,Slow,8.0,2026.0,8654,0.08003678124943858
27-3092.00,Slow,8.0,2026.0,21185,0.07731291876402646
27-3092.00,Slow,8.0,2026.0,8657,0.022916363096350773
27-3092.00,Slow,8.0,2026.0,21184,0.07442736581144374
27-3092.00,Slow,8.0,2026.0,8662,0.2615923611241477
27-3092.00,Slow,8.0,2026.0,8661,0.0636461168291255
27-3092.00,Slow,8.0,2026.0,8658,0.06322097266369794
27-3092.00,Slow,8.0,2026.0,8660,0.04957791548271715
27-3092.00,Slow,8.0,2026.25,8653,0.033193336615891134
27-3092.00,Slow,8.0,2026.25,21183,0.02952251685431102
27-3092.00,Slow,8.0,2026.25,8663,0.0295197926838015
27-3092.00,Slow,8.0,2026.25,8655,0.09640442430110772
27-3092.00,Slow,8.0,2026.25,8659,0.09174617265682689
27-3092.00,Slow,8.0,2026.25,8656,0.025681436435885815
27-3092.00,Slow,8.0,2026.25,8654,0.08009092607248465
27-3092.00,Slow,8.0,2026.25,21185,0.07736522089612505
27-3092.00,Slow,8.0,2026.25,8657,0.02266101238345394
27-3092.00,Slow,8.0,2026.25,21184,0.07447771586911392
27-3092.00,Slow,8.0,2026.25,8662,0.2627730753406945
27-3092.00,Slow,8.0,2026.25,8661,0.06368917337986986
27-3092.00,Slow,8.0,2026.25,8658,0.06326374160473029
27-3092.00,Slow,8.0,2026.25,8660,0.04961145490570367
27-3092.00,Slow,8.0,2026.5,8653,0.03281879827995386
27-3092.00,Slow,8.0,2026.5,21183,0.029189398359377904
27-3092.00,Slow,8.0,2026.5,8663,0.029186704927154847
27-3092.00,Slow,8.0,2026.5,8655,0.09646968597198856
27-3092.00,Slow,8.0,2026.5,8659,0.09180828089063371
27-3092.00,Slow,8.0,2026.5,8656,0.025391658924860585
27-3092.00,Slow,8.0,2026.5,8654,0.08014514420298827
27-3092.00,Slow,8.0,2026.5,21185,0.0774175938408353
27-3092.00,Slow,8.0,2026.5,8657,0.02240531594754067
27-3092.00,Slow,8.0,2026.5,21184,0.07452813409645404
27-3092.00,Slow,8.0,2026.5,8662,0.2639553881432639
27-3092.00,Slow,8.0,2026.5,8661,0.06373228822549985
27-3092.00,Slow,8.0,2026.5,8658,0.06330656845124932
27-3092.00,Slow,8.0,2026.5,8660,0.04964503973819914
27-3092.00,Slow,8.0,2026.75,8653,0.03244375250764396
27-3092.00,Slow,8.0,2026.75,21183,0.0288558285449816
27-3092.00,Slow,8.0,2026.75,8663,0.028853165892690203
27-3092.00,Slow,8.0,2026.75,8655,0.09653503606144331
27-3092.00,Slow,8.0,2026.75,8659,0.09187047327063828
27-3092.00,Slow,8.0,2026.75,8656,0.025101488814106697
27-3092.00,Slow,8.0,2026.75,8654,0.08019943578992834
27-3092.00,Slow,8.0,2026.75,21185,0.077470037742066
27-3092.00,Slow,8.0,2026.75,8657,0.022149273086016233
27-3092.00,Slow,8.0,2026.75,21184,0.07457862063200174
27-3092.00,Slow,8.0,2026.75,8662,0.2651393027805783
27-3092.00,Slow,8.0,2026.75,8661,0.06377546148448508
27-3092.00,Slow,8.0,2026.75,8658,0.0633494533209333
27-3092.00,Slow,8.0,2026.75,8660,0.04967867007248694
27-3092.00,Slow,8.0,2027.0,8653,0.03206819826702618
27-3092.00,Slow,8.0,2027.0,21183,0.028521806493307572
27-3092.00,Slow,8.0,2027.0,8663,0.028519174662677726
27-3092.00,Slow,8.0,2027.0,8655,0.09660047474928221
27-3092.00,Slow,8.0,2027.0,8659,0.09193274996796237
27-3092.00,Slow,8.0,2027.0,8656,0.024810925305223542
27-3092.00,Slow,8.0,2027.0,8654,0.08025380098268771
27-3092.00,Slow,8.0,2027.0,21185,0.07752255274411607
27-3092.00,Slow,8.0,2027.0,8657,0.021892883094380863
27-3092.00,Slow,8.0,2027.0,21184,0.07462917561467028
27-3092.00,Slow,8.0,2027.0,8662,0.26632482251016887
27-3092.00,Slow,8.0,2027.0,8661,0.06381869327561643
27-3092.00,Slow,8.0,2027.0,8658,0.06339239633177958
27-3092.00,Slow,8.0,2027.0,8660,0.04971234600110063
27-3092.00,Slow,8.0,2027.25,8653,0.03169213452336521
27-3092.00,Slow,8.0,2027.25,21183,0.028187331284050935
27-3092.00,Slow,8.0,2027.25,8663,0.028184730316897458
27-3092.00,Slow,8.0,2027.25,8655,0.09666600221580336
27-3092.00,Slow,8.0,2027.25,8659,0.09199511115419212
27-3092.00,Slow,8.0,2027.25,8656,0.02451996759764416
27-3092.00,Slow,8.0,2027.25,8654,0.08030823993105454
27-3092.00,Slow,8.0,2027.25,21185,0.07757513899167601
27-3092.00,Slow,8.0,2027.25,8657,0.02163614526622323
27-3092.00,Slow,8.0,2027.25,21184,0.07467979918374987
27-3092.00,Slow,8.0,2027.25,8662,0.26751195059840543
27-3092.00,Slow,8.0,2027.25,8661,0.06386198371800705
27-3092.00,Slow,8.0,2027.25,8658,0.0634353976021057
27-3092.00,Slow,8.0,2027.25,8660,0.049746067616824874
27-3092.00,Slow,8.0,2027.5,8653,0.03131556023911627
27-3092.00,Slow,8.0,2027.5,21183,0.027852401994407992
27-3092.00,Slow,8.0,2027.5,8663,0.027849831932630846
27-3092.00,Slow,8.0,2027.5,8655,0.0967316186417944
27-3092.00,Slow,8.0,2027.5,8659,0.09205755700137955
27-3092.00,Slow,8.0,2027.5,8656,0.024228614888627903
