O*NET-SOC Code	Task ID	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	8823	FT	1	5.92	76	4.2651	1.3474	22.4442	N	08/2023	Incumbent
11-1011.00	8823	FT	2	15.98	76	5.6031	7.6477	30.3982	N	08/2023	Incumbent
11-1011.00	8823	FT	3	29.68	76	9.5346	14.5180	51.1837	N	08/2023	Incumbent
11-1011.00	8823	FT	4	21.18	76	8.3862	8.9874	42.2265	N	08/2023	Incumbent
11-1011.00	8823	FT	5	19.71	76	7.3666	8.8518	38.2911	N	08/2023	Incumbent
11-1011.00	8823	FT	6	4.91	76	2.6748	1.6252	13.9155	N	08/2023	Incumbent
11-1011.00	8823	FT	7	2.63	76	2.2224	0.4773	13.2071	N	08/2023	Incumbent
11-1011.00	8823	IM	n/a	4.52	75	0.1055	4.3146	4.7350	N	08/2023	Incumbent
11-1011.00	8823	RT	n/a	74.44	95	7.3023	57.6139	86.1881	N	08/2023	Incumbent
11-1011.00	8824	FT	1	1.42	85	0.9174	0.3929	5.0309	N	08/2023	Incumbent
11-1011.00	8824	FT	2	14.44	85	5.2801	6.7330	28.3090	N	08/2023	Incumbent
11-1011.00	8824	FT	3	27.31	85	7.2493	15.3822	43.7169	N	08/2023	Incumbent
11-1011.00	8824	FT	4	25.52	85	7.6938	13.2843	43.3856	N	08/2023	Incumbent
11-1011.00	8824	FT	5	26.88	85	7.3816	14.8321	43.6841	N	08/2023	Incumbent
11-1011.00	8824	FT	6	2.52	85	2.0396	0.4936	11.8747	N	08/2023	Incumbent
11-1011.00	8824	FT	7	1.90	85	1.3616	0.4516	7.6444	N	08/2023	Incumbent
11-1011.00	8824	IM	n/a	4.32	83	0.1071	4.1057	4.5318	N	08/2023	Incumbent
11-1011.00	8824	RT	n/a	81.71	95	7.8833	61.0491	92.7151	N	08/2023	Incumbent
11-1011.00	8827	FT	1	15.50	85	5.3008	7.5815	29.0895	N	08/2023	Incumbent
11-1011.00	8827	FT	2	38.21	85	9.3143	22.0083	57.5386	N	08/2023	Incumbent
11-1011.00	8827	FT	3	32.73	85	10.3442	16.0439	55.3230	N	08/2023	Incumbent
11-1011.00	8827	FT	4	5.15	85	2.5088	1.9164	13.1019	N	08/2023	Incumbent
11-1011.00	8827	FT	5	5.25	85	2.6259	1.9000	13.6663	N	08/2023	Incumbent
11-1011.00	8827	FT	6	0.19	85	0.1907	0.0249	1.4018	N	08/2023	Incumbent
11-1011.00	8827	FT	7	2.98	85	2.1083	0.7159	11.5779	N	08/2023	Incumbent
11-1011.00	8827	IM	n/a	4.30	87	0.1527	3.9916	4.5985	N	08/2023	Incumbent
11-1011.00	8827	RT	n/a	93.41	95	2.9498	84.5520	97.3448	N	08/2023	Incumbent
11-1011.00	8826	FT	1	3.03	91	1.9033	0.8544	10.1668	N	08/2023	Incumbent
11-1011.00	8826	FT	2	17.33	91	6.6618	7.6851	34.5574	N	08/2023	Incumbent
11-1011.00	8826	FT	3	20.30	91	7.9195	8.7894	40.2499	N	08/2023	Incumbent
11-1011.00	8826	FT	4	18.10	91	7.1621	7.8023	36.5921	N	08/2023	Incumbent
11-1011.00	8826	FT	5	33.16	91	8.4471	18.8723	51.4012	N	08/2023	Incumbent
11-1011.00	8826	FT	6	2.01	91	1.1744	0.6216	6.2858	N	08/2023	Incumbent
11-1011.00	8826	FT	7	6.07	91	2.7269	2.4391	14.3197	N	08/2023	Incumbent
11-1011.00	8826	IM	n/a	4.24	91	0.1424	3.9608	4.5266	N	08/2023	Incumbent
11-1011.00	8826	RT	n/a	97.79	94	1.5735	91.2414	99.4721	N	08/2023	Incumbent
11-1011.00	8834	FT	1	1.98	89	1.4672	0.4487	8.3161	N	08/2023	Incumbent
11-1011.00	8834	FT	2	14.06	89	5.0049	6.7033	27.1485	N	08/2023	Incumbent
11-1011.00	8834	FT	3	42.60	89	9.0775	26.1908	60.8125	N	08/2023	Incumbent
11-1011.00	8834	FT	4	21.24	89	8.6332	8.8158	42.9230	N	08/2023	Incumbent
11-1011.00	8834	FT	5	13.18	89	5.7567	5.2935	29.2085	N	08/2023	Incumbent
11-1011.00	8834	FT	6	6.24	89	3.4566	2.0167	17.7168	N	08/2023	Incumbent
11-1011.00	8834	FT	7	0.70	89	0.5058	0.1635	2.9132	N	08/2023	Incumbent
11-1011.00	8834	IM	n/a	4.17	88	0.1950	3.7827	4.5578	N	08/2023	Incumbent
11-1011.00	8834	RT	n/a	92.92	95	3.5072	81.9943	97.4244	N	08/2023	Incumbent
11-1011.00	8836	FT	1	9.72	88	3.8700	4.2910	20.5529	N	08/2023	Incumbent
11-1011.00	8836	FT	2	29.40	88	8.3085	15.8198	47.9898	N	08/2023	Incumbent
11-1011.00	8836	FT	3	26.87	88	7.5416	14.6315	44.0716	N	08/2023	Incumbent
11-1011.00	8836	FT	4	18.17	88	6.6762	8.3414	35.1543	N	08/2023	Incumbent
11-1011.00	8836	FT	5	12.56	88	4.8925	5.5907	25.8242	N	08/2023	Incumbent
11-1011.00	8836	FT	6	0.90	88	0.8857	0.1259	6.1378	N	08/2023	Incumbent
11-1011.00	8836	FT	7	2.37	88	1.5251	0.6534	8.2512	N	08/2023	Incumbent
11-1011.00	8836	IM	n/a	4.14	86	0.1284	3.8832	4.3937	N	08/2023	Incumbent
11-1011.00	8836	RT	n/a	88.43	94	7.5883	63.6669	97.0898	N	08/2023	Incumbent
11-1011.00	8825	FT	1	4.08	92	2.0556	1.4774	10.7739	N	08/2023	Incumbent
11-1011.00	8825	FT	2	22.03	92	5.5948	12.8909	35.0512	N	08/2023	Incumbent
11-1011.00	8825	FT	3	36.36	92	8.5971	21.4571	54.4473	N	08/2023	Incumbent
11-1011.00	8825	FT	4	8.29	92	5.1545	2.2986	25.7904	N	08/2023	Incumbent
11-1011.00	8825	FT	5	24.71	92	7.0826	13.3473	41.1434	N	08/2023	Incumbent
11-1011.00	8825	FT	6	1.97	92	1.3961	0.4733	7.7959	N	08/2023	Incumbent
11-1011.00	8825	FT	7	2.56	92	1.4414	0.8243	7.6469	N	08/2023	Incumbent
11-1011.00	8825	IM	n/a	4.13	91	0.1505	3.8353	4.4332	N	08/2023	Incumbent
11-1011.00	8825	RT	n/a	98.57	94	1.2603	92.1011	99.7562	N	08/2023	Incumbent
11-1011.00	8828	FT	1	2.91	70	1.7252	0.8767	9.2022	N	08/2023	Incumbent
11-1011.00	8828	FT	2	3.99	70	2.4292	1.1619	12.8331	N	08/2023	Incumbent
11-1011.00	8828	FT	3	27.29	70	10.9952	11.0507	53.1317	N	08/2023	Incumbent
11-1011.00	8828	FT	4	10.95	70	5.3329	3.9637	26.7990	N	08/2023	Incumbent
11-1011.00	8828	FT	5	36.62	70	9.4339	20.4319	56.5191	N	08/2023	Incumbent
11-1011.00	8828	FT	6	9.41	70	4.1591	3.7754	21.5636	N	08/2023	Incumbent
11-1011.00	8828	FT	7	8.84	70	4.0084	3.4686	20.7334	N	08/2023	Incumbent
11-1011.00	8828	IM	n/a	4.13	73	0.1786	3.7774	4.4893	N	08/2023	Incumbent
11-1011.00	8828	RT	n/a	70.43	94	7.4993	53.8141	82.9637	N	08/2023	Incumbent
11-1011.00	8832	FT	1	15.84	67	7.3965	5.8522	36.2984	N	08/2023	Incumbent
11-1011.00	8832	FT	2	35.93	67	9.2828	20.0414	55.6400	N	08/2023	Incumbent
11-1011.00	8832	FT	3	32.38	67	10.4333	15.6103	55.3575	N	08/2023	Incumbent
11-1011.00	8832	FT	4	8.62	67	3.9507	3.3489	20.4307	N	08/2023	Incumbent
11-1011.00	8832	FT	5	7.23	67	3.1036	3.0024	16.4107	N	08/2023	Incumbent
11-1011.00	8832	FT	6	0.00	67	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8832	FT	7	0.00	67	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8832	IM	n/a	4.13	66	0.1854	3.7629	4.5035	N	08/2023	Incumbent
11-1011.00	8832	RT	n/a	75.74	94	6.5363	60.6384	86.3541	N	08/2023	Incumbent
11-1011.00	8831	FT	1	11.90	84	3.8413	6.1159	21.8688	N	08/2023	Incumbent
11-1011.00	8831	FT	2	25.73	84	6.5019	14.9705	40.5308	N	08/2023	Incumbent
11-1011.00	8831	FT	3	29.22	84	9.2367	14.5169	50.0892	N	08/2023	Incumbent
11-1011.00	8831	FT	4	21.82	84	8.8405	9.0569	43.8961	N	08/2023	Incumbent
11-1011.00	8831	FT	5	8.46	84	3.1611	3.9455	17.2306	N	08/2023	Incumbent
11-1011.00	8831	FT	6	1.69	84	1.3337	0.3483	7.8164	N	08/2023	Incumbent
11-1011.00	8831	FT	7	1.18	84	1.1744	0.1592	8.1567	N	08/2023	Incumbent
11-1011.00	8831	IM	n/a	4.09	84	0.1489	3.7906	4.3828	N	08/2023	Incumbent
11-1011.00	8831	RT	n/a	93.14	93	2.2627	87.0457	96.4821	N	08/2023	Incumbent
11-1011.00	8843	FT	1	2.09	89	1.6057	0.4494	9.2066	N	08/2023	Incumbent
11-1011.00	8843	FT	2	15.05	89	5.8417	6.6724	30.5228	N	08/2023	Incumbent
11-1011.00	8843	FT	3	42.07	89	10.1344	24.1181	62.3995	N	08/2023	Incumbent
11-1011.00	8843	FT	4	16.02	89	6.6824	6.6404	33.8599	N	08/2023	Incumbent
11-1011.00	8843	FT	5	15.66	89	5.1271	7.9026	28.6501	N	08/2023	Incumbent
11-1011.00	8843	FT	6	5.02	89	2.7260	1.6710	14.1356	N	08/2023	Incumbent
11-1011.00	8843	FT	7	4.08	89	2.0136	1.5034	10.5743	N	08/2023	Incumbent
11-1011.00	8843	IM	n/a	4.09	88	0.1555	3.7763	4.3945	N	08/2023	Incumbent
11-1011.00	8843	RT	n/a	96.73	95	1.7819	90.6242	98.9064	N	08/2023	Incumbent
11-1011.00	8830	FT	1	1.34	89	1.3263	0.1864	9.0434	N	08/2023	Incumbent
11-1011.00	8830	FT	2	5.94	89	2.6609	2.3893	13.9926	N	08/2023	Incumbent
11-1011.00	8830	FT	3	27.02	89	9.4656	12.4827	49.0089	N	08/2023	Incumbent
11-1011.00	8830	FT	4	24.41	89	7.1366	13.0195	41.0520	N	08/2023	Incumbent
11-1011.00	8830	FT	5	25.96	89	7.7820	13.5580	43.9453	N	08/2023	Incumbent
11-1011.00	8830	FT	6	12.90	89	4.3424	6.4288	24.1989	N	08/2023	Incumbent
11-1011.00	8830	FT	7	2.43	89	1.8154	0.5414	10.2362	N	08/2023	Incumbent
11-1011.00	8830	IM	n/a	4.07	91	0.1205	3.8261	4.3049	N	08/2023	Incumbent
11-1011.00	8830	RT	n/a	96.42	95	2.4751	86.6452	99.1118	N	08/2023	Incumbent
11-1011.00	8829	FT	1	8.90	81	3.6332	3.8540	19.2476	N	08/2023	Incumbent
11-1011.00	8829	FT	2	36.89	81	8.1789	22.5140	54.0477	N	08/2023	Incumbent
11-1011.00	8829	FT	3	15.43	81	5.5527	7.2549	29.8495	N	08/2023	Incumbent
11-1011.00	8829	FT	4	28.50	81	8.7673	14.4803	48.4115	N	08/2023	Incumbent
11-1011.00	8829	FT	5	3.84	81	2.3313	1.1221	12.3036	N	08/2023	Incumbent
11-1011.00	8829	FT	6	4.62	81	2.6814	1.4196	13.9867	N	08/2023	Incumbent
11-1011.00	8829	FT	7	1.82	81	1.4144	0.3827	8.2189	N	08/2023	Incumbent
11-1011.00	8829	IM	n/a	4.06	80	0.1592	3.7447	4.3786	N	08/2023	Incumbent
11-1011.00	8829	RT	n/a	80.19	95	7.5926	61.0428	91.2680	N	08/2023	Incumbent
11-1011.00	8835	FT	1	5.35	87	2.6867	1.9317	13.9635	N	08/2023	Incumbent
11-1011.00	8835	FT	2	33.46	87	7.7460	20.1121	50.1009	N	08/2023	Incumbent
11-1011.00	8835	FT	3	28.42	87	6.8451	16.8993	43.6618	N	08/2023	Incumbent
11-1011.00	8835	FT	4	11.09	87	4.1267	5.1502	22.2786	N	08/2023	Incumbent
11-1011.00	8835	FT	5	18.66	87	7.3376	8.0655	37.4898	N	08/2023	Incumbent
11-1011.00	8835	FT	6	1.42	87	1.3222	0.2198	8.6080	N	08/2023	Incumbent
11-1011.00	8835	FT	7	1.60	87	1.2899	0.3205	7.6416	N	08/2023	Incumbent
11-1011.00	8835	IM	n/a	3.98	86	0.1294	3.7208	4.2352	N	08/2023	Incumbent
11-1011.00	8835	RT	n/a	87.04	95	7.5027	64.1967	96.1796	N	08/2023	Incumbent
11-1011.00	8839	FT	1	7.56	88	3.8601	2.6536	19.6889	N	08/2023	Incumbent
11-1011.00	8839	FT	2	22.61	88	7.0349	11.6141	39.3808	N	08/2023	Incumbent
11-1011.00	8839	FT	3	34.49	88	8.0801	20.5532	51.7351	N	08/2023	Incumbent
11-1011.00	8839	FT	4	22.76	88	7.0424	11.7289	39.5137	N	08/2023	Incumbent
11-1011.00	8839	FT	5	7.95	88	3.1695	3.5240	16.9632	N	08/2023	Incumbent
11-1011.00	8839	FT	6	4.28	88	3.1961	0.9407	17.4069	N	08/2023	Incumbent
11-1011.00	8839	FT	7	0.35	88	0.3492	0.0465	2.5311	N	08/2023	Incumbent
11-1011.00	8839	IM	n/a	3.94	87	0.1619	3.6207	4.2643	N	08/2023	Incumbent
11-1011.00	8839	RT	n/a	92.70	95	5.0596	74.2136	98.2448	N	08/2023	Incumbent
11-1011.00	8840	FT	1	2.43	72	2.1665	0.4006	13.3502	N	08/2023	Incumbent
11-1011.00	8840	FT	2	21.28	72	7.0845	10.4171	38.5808	N	08/2023	Incumbent
11-1011.00	8840	FT	3	29.93	72	8.5557	15.9225	49.0714	N	08/2023	Incumbent
11-1011.00	8840	FT	4	10.37	72	5.1102	3.7237	25.7221	N	08/2023	Incumbent
11-1011.00	8840	FT	5	24.30	72	8.5049	11.3206	44.6583	N	08/2023	Incumbent
11-1011.00	8840	FT	6	9.04	72	4.6731	3.1043	23.5854	N	08/2023	Incumbent
11-1011.00	8840	FT	7	2.65	72	1.7829	0.6809	9.7474	N	08/2023	Incumbent
11-1011.00	8840	IM	n/a	3.92	71	0.1246	3.6712	4.1683	N	08/2023	Incumbent
11-1011.00	8840	RT	n/a	68.36	95	8.5421	49.6542	82.5553	N	08/2023	Incumbent
11-1011.00	8837	FT	1	16.93	71	5.4386	8.6105	30.5885	N	08/2023	Incumbent
11-1011.00	8837	FT	2	40.16	71	9.3257	23.6389	59.2737	N	08/2023	Incumbent
11-1011.00	8837	FT	3	14.16	71	5.2319	6.5358	28.0190	N	08/2023	Incumbent
11-1011.00	8837	FT	4	11.86	71	5.0072	4.9236	25.9157	N	08/2023	Incumbent
11-1011.00	8837	FT	5	10.06	71	3.7488	4.6646	20.3538	N	08/2023	Incumbent
11-1011.00	8837	FT	6	5.32	71	3.1242	1.6066	16.2190	N	08/2023	Incumbent
11-1011.00	8837	FT	7	1.50	71	1.4931	0.2041	10.2323	N	08/2023	Incumbent
11-1011.00	8837	IM	n/a	3.80	71	0.1685	3.4607	4.1326	N	08/2023	Incumbent
11-1011.00	8837	RT	n/a	72.17	94	8.4290	52.9831	85.6456	N	08/2023	Incumbent
11-1011.00	8833	FT	1	24.44	64	10.0619	9.8202	49.0041	N	08/2023	Incumbent
11-1011.00	8833	FT	2	28.18	64	8.8561	14.0610	48.4696	N	08/2023	Incumbent
11-1011.00	8833	FT	3	39.30	64	10.0384	21.8265	60.0148	N	08/2023	Incumbent
11-1011.00	8833	FT	4	3.73	64	2.1307	1.1703	11.2544	N	08/2023	Incumbent
11-1011.00	8833	FT	5	3.93	64	2.7421	0.9464	14.8721	N	08/2023	Incumbent
11-1011.00	8833	FT	6	0.00	64	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8833	FT	7	0.43	64	0.4344	0.0566	3.1801	N	08/2023	Incumbent
11-1011.00	8833	IM	n/a	3.79	63	0.1763	3.4340	4.1390	N	08/2023	Incumbent
11-1011.00	8833	RT	n/a	74.11	94	6.6140	59.0773	85.0206	N	08/2023	Incumbent
11-1011.00	8849	FT	1	10.03	62	5.1771	3.4166	25.9851	N	08/2023	Incumbent
11-1011.00	8849	FT	2	32.74	62	7.2168	20.1727	48.3807	N	08/2023	Incumbent
11-1011.00	8849	FT	3	45.75	62	10.0526	27.2789	65.4600	N	08/2023	Incumbent
11-1011.00	8849	FT	4	5.66	62	4.1162	1.2671	21.8935	N	08/2023	Incumbent
11-1011.00	8849	FT	5	5.83	62	3.4044	1.7627	17.6218	N	08/2023	Incumbent
11-1011.00	8849	FT	6	0.00	62	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8849	FT	7	0.00	62	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8849	IM	n/a	3.59	64	0.2084	3.1786	4.0114	N	08/2023	Incumbent
11-1011.00	8849	RT	n/a	69.01	94	8.3364	50.6627	82.8444	N	08/2023	Incumbent
11-1011.00	8850	FT	1	23.76	69	7.4948	12.0074	41.5720	N	08/2023	Incumbent
11-1011.00	8850	FT	2	16.59	69	5.2455	8.5412	29.7671	N	08/2023	Incumbent
11-1011.00	8850	FT	3	46.78	69	9.2506	29.5204	64.8541	N	08/2023	Incumbent
11-1011.00	8850	FT	4	5.57	69	2.5752	2.1689	13.5455	N	08/2023	Incumbent
11-1011.00	8850	FT	5	5.22	69	2.4323	2.0267	12.8093	N	08/2023	Incumbent
11-1011.00	8850	FT	6	2.07	69	2.0528	0.2813	13.7275	N	08/2023	Incumbent
11-1011.00	8850	FT	7	0.00	69	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8850	IM	n/a	3.55	71	0.1332	3.2887	3.8199	N	08/2023	Incumbent
11-1011.00	8850	RT	n/a	82.46	95	4.9389	70.4702	90.2538	N	08/2023	Incumbent
11-1011.00	8842	FT	1	23.38	21	12.2155	6.8528	55.8590	N	08/2023	Incumbent
11-1011.00	8842	FT	2	65.82	21	13.3278	35.8823	86.8874	N	08/2023	Incumbent
11-1011.00	8842	FT	3	1.19	21	1.2326	0.1340	9.7105	N	08/2023	Incumbent
11-1011.00	8842	FT	4	0.00	21	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8842	FT	5	5.56	21	5.2962	0.7148	32.5374	N	08/2023	Incumbent
11-1011.00	8842	FT	6	0.00	21	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8842	FT	7	4.05	21	4.0878	0.4679	27.4762	N	08/2023	Incumbent
11-1011.00	8842	IM	n/a	4.07	21	0.3621	3.3099	4.8204	N	08/2023	Incumbent
11-1011.00	8842	RT	n/a	27.05	94	7.6681	14.6296	44.5094	N	08/2023	Incumbent
11-1011.00	8851	FT	1	35.69	52	11.2933	17.1288	59.8453	N	08/2023	Incumbent
11-1011.00	8851	FT	2	32.00	52	11.4859	14.0230	57.5897	N	08/2023	Incumbent
11-1011.00	8851	FT	3	16.99	52	7.4245	6.6398	37.0630	N	08/2023	Incumbent
11-1011.00	8851	FT	4	7.80	52	4.5540	2.3205	23.1725	N	08/2023	Incumbent
11-1011.00	8851	FT	5	5.61	52	3.5860	1.5043	18.7949	N	08/2023	Incumbent
11-1011.00	8851	FT	6	0.00	52	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8851	FT	7	1.90	52	1.9107	0.2476	13.1545	N	08/2023	Incumbent
11-1011.00	8851	IM	n/a	3.98	52	0.1559	3.6622	4.2882	N	08/2023	Incumbent
11-1011.00	8851	RT	n/a	56.65	95	8.5404	39.5829	72.2747	N	08/2023	Incumbent
11-1011.00	8847	FT	1	13.29	27	8.6257	3.1865	41.6545	N	08/2023	Incumbent
11-1011.00	8847	FT	2	33.80	27	14.1893	12.1798	65.2798	N	08/2023	Incumbent
11-1011.00	8847	FT	3	29.93	27	21.4629	4.9546	77.7825	Y	08/2023	Incumbent
11-1011.00	8847	FT	4	6.36	27	5.2389	1.0990	29.3017	N	08/2023	Incumbent
11-1011.00	8847	FT	5	10.56	27	6.7170	2.6644	33.7454	N	08/2023	Incumbent
11-1011.00	8847	FT	6	0.00	27	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8847	FT	7	6.06	27	5.9079	0.7570	35.2701	N	08/2023	Incumbent
11-1011.00	8847	IM	n/a	3.90	26	0.2359	3.4184	4.3903	N	08/2023	Incumbent
11-1011.00	8847	RT	n/a	27.31	94	8.1542	14.2474	45.9243	N	08/2023	Incumbent
11-1011.00	8853	FT	1	32.80	42	10.8659	15.2798	56.9138	N	08/2023	Incumbent
11-1011.00	8853	FT	2	20.05	42	7.0754	9.3266	37.9488	N	08/2023	Incumbent
11-1011.00	8853	FT	3	35.79	42	13.2297	14.8393	64.0620	N	08/2023	Incumbent
11-1011.00	8853	FT	4	7.76	42	4.4441	2.3453	22.7668	N	08/2023	Incumbent
11-1011.00	8853	FT	5	3.60	42	3.0930	0.6135	18.4277	N	08/2023	Incumbent
11-1011.00	8853	FT	6	0.00	42	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8853	FT	7	0.00	42	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8853	IM	n/a	3.88	44	0.2471	3.3790	4.3755	N	08/2023	Incumbent
11-1011.00	8853	RT	n/a	52.57	94	8.7584	35.5606	69.0103	N	08/2023	Incumbent
11-1011.00	8844	FT	1	29.97	40	10.0695	13.9558	53.0409	N	08/2023	Incumbent
11-1011.00	8844	FT	2	34.55	40	11.9047	15.3950	60.4885	N	08/2023	Incumbent
11-1011.00	8844	FT	3	31.55	40	12.9482	12.0530	60.7817	N	08/2023	Incumbent
11-1011.00	8844	FT	4	1.66	40	1.6418	0.2218	11.4097	N	08/2023	Incumbent
11-1011.00	8844	FT	5	2.27	40	2.2930	0.2861	15.8221	N	08/2023	Incumbent
11-1011.00	8844	FT	6	0.00	40	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8844	FT	7	0.00	40	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8844	IM	n/a	3.81	39	0.2610	3.2854	4.3422	N	08/2023	Incumbent
11-1011.00	8844	RT	n/a	47.82	94	7.8913	32.8473	63.2028	N	08/2023	Incumbent
11-1011.00	20461	FT	1	12.68	58	5.4422	5.1472	27.9827	N	08/2023	Incumbent
11-1011.00	20461	FT	2	36.53	58	9.6186	20.0525	56.9152	N	08/2023	Incumbent
11-1011.00	20461	FT	3	32.21	58	10.1778	15.7386	54.7138	N	08/2023	Incumbent
11-1011.00	20461	FT	4	8.58	58	7.7611	1.2756	40.5090	N	08/2023	Incumbent
11-1011.00	20461	FT	5	9.23	58	5.3901	2.7305	26.9415	N	08/2023	Incumbent
11-1011.00	20461	FT	6	0.26	58	0.2615	0.0342	1.9331	N	08/2023	Incumbent
11-1011.00	20461	FT	7	0.51	58	0.5183	0.0674	3.7925	N	08/2023	Incumbent
11-1011.00	20461	IM	n/a	3.81	56	0.1732	3.4663	4.1603	N	08/2023	Incumbent
11-1011.00	20461	RT	n/a	62.05	94	9.4394	42.4518	78.3781	N	08/2023	Incumbent
11-1011.00	8838	FT	1	5.21	57	2.9192	1.6563	15.2258	N	08/2023	Incumbent
11-1011.00	8838	FT	2	25.53	57	7.8610	13.0278	43.9763	N	08/2023	Incumbent
11-1011.00	8838	FT	3	32.46	57	12.7204	13.0665	60.5772	N	08/2023	Incumbent
11-1011.00	8838	FT	4	17.43	57	9.9957	4.9894	45.9059	N	08/2023	Incumbent
11-1011.00	8838	FT	5	15.93	57	6.9539	6.2786	34.9056	N	08/2023	Incumbent
11-1011.00	8838	FT	6	0.92	57	0.7781	0.1658	4.8968	N	08/2023	Incumbent
11-1011.00	8838	FT	7	2.51	57	2.4232	0.3542	15.7516	N	08/2023	Incumbent
11-1011.00	8838	IM	n/a	3.78	55	0.2108	3.3594	4.2047	N	08/2023	Incumbent
11-1011.00	8838	RT	n/a	56.74	94	8.1042	40.5026	71.6403	N	08/2023	Incumbent
11-1011.00	8845	FT	1	24.61	51	9.9725	9.9825	49.0018	N	08/2023	Incumbent
11-1011.00	8845	FT	2	34.70	51	10.6527	17.1309	57.7400	N	08/2023	Incumbent
11-1011.00	8845	FT	3	13.92	51	4.8338	6.7092	26.6650	N	08/2023	Incumbent
11-1011.00	8845	FT	4	4.07	51	2.4385	1.1988	12.9463	N	08/2023	Incumbent
11-1011.00	8845	FT	5	19.13	51	8.8435	6.9776	42.7154	N	08/2023	Incumbent
11-1011.00	8845	FT	6	2.99	51	2.8994	0.4127	18.6619	N	08/2023	Incumbent
11-1011.00	8845	FT	7	0.58	51	0.5842	0.0744	4.3060	N	08/2023	Incumbent
11-1011.00	8845	IM	n/a	3.70	52	0.2178	3.2618	4.1362	N	08/2023	Incumbent
11-1011.00	8845	RT	n/a	57.44	94	8.7902	39.7899	73.3770	N	08/2023	Incumbent
11-1011.00	8848	FT	1	25.13	66	6.4747	14.4467	40.0284	N	08/2023	Incumbent
11-1011.00	8848	FT	2	24.24	66	7.1334	12.8413	41.0068	N	08/2023	Incumbent
11-1011.00	8848	FT	3	19.13	66	6.7317	9.0246	36.0642	N	08/2023	Incumbent
11-1011.00	8848	FT	4	15.64	66	9.2261	4.3882	42.8320	N	08/2023	Incumbent
11-1011.00	8848	FT	5	13.44	66	8.4598	3.5077	39.8835	N	08/2023	Incumbent
11-1011.00	8848	FT	6	0.00	66	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8848	FT	7	2.41	66	1.8316	0.5174	10.4762	N	08/2023	Incumbent
11-1011.00	8848	IM	n/a	3.66	64	0.1999	3.2614	4.0604	N	08/2023	Incumbent
11-1011.00	8848	RT	n/a	58.30	94	9.0597	40.0097	74.5535	N	08/2023	Incumbent
11-1011.00	8846	FT	1	35.97	58	11.3418	17.3252	60.0956	N	08/2023	Incumbent
11-1011.00	8846	FT	2	24.05	58	7.7772	11.8917	42.6189	N	08/2023	Incumbent
11-1011.00	8846	FT	3	14.99	58	5.9067	6.5177	30.8506	N	08/2023	Incumbent
11-1011.00	8846	FT	4	13.15	58	5.2594	5.6791	27.5759	N	08/2023	Incumbent
11-1011.00	8846	FT	5	8.79	58	4.2493	3.2273	21.7855	N	08/2023	Incumbent
11-1011.00	8846	FT	6	3.05	58	2.8189	0.4636	17.5120	N	08/2023	Incumbent
11-1011.00	8846	FT	7	0.00	58	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8846	IM	n/a	3.51	58	0.2058	3.1012	3.9253	N	08/2023	Incumbent
11-1011.00	8846	RT	n/a	58.06	94	8.7199	40.4703	73.8141	N	08/2023	Incumbent
11-1011.00	8852	FT	1	16.61	62	5.9114	7.8208	31.8620	N	08/2023	Incumbent
11-1011.00	8852	FT	2	33.17	62	9.7064	17.1345	54.3649	N	08/2023	Incumbent
11-1011.00	8852	FT	3	38.01	62	10.7959	19.7006	60.5204	N	08/2023	Incumbent
11-1011.00	8852	FT	4	1.79	62	1.2234	0.4511	6.8287	N	08/2023	Incumbent
11-1011.00	8852	FT	5	8.72	62	4.2164	3.2043	21.6006	N	08/2023	Incumbent
11-1011.00	8852	FT	6	1.70	62	1.7160	0.2212	11.8811	N	08/2023	Incumbent
11-1011.00	8852	FT	7	0.00	62	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	8852	IM	n/a	3.42	60	0.2433	2.9353	3.9089	N	08/2023	Incumbent
11-1011.00	8852	RT	n/a	63.86	94	7.8126	47.4304	77.5842	N	08/2023	Incumbent
11-1011.03	15382	FT	1	3.85	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	FT	2	26.92	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	15382	FT	3	38.46	26	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
